game_pk,game_date,season,game_type,status_code,doubleheader,game_number,home_id,home_abbr,away_id,away_abbr,venue_id,statsapi_path,statsapi_bytes,statsapi_sha256,savant_path,savant_rows,savant_bytes,savant_sha256
748233,2024-02-25,2024,S,F,N,1,112,CHC,135,SD,4629,,,,,,,
748234,2024-02-25,2024,S,F,N,1,158,MIL,115,COL,2518,,,,,,,
748235,2024-02-25,2024,S,F,N,1,136,SEA,114,CLE,2530,,,,,,,
748236,2024-02-25,2024,S,F,N,1,113,CIN,108,LAA,3834,,,,,,,
748237,2024-02-25,2024,S,F,N,1,143,PHI,147,NYY,2700,,,,,,,
748238,2024-02-25,2024,S,F,N,1,111,BOS,142,MIN,4309,,,,,,,
748239,2024-02-25,2024,S,F,N,1,147,NYY,141,TOR,2523,,,,,,,
748240,2024-02-25,2024,S,F,N,1,117,HOU,138,STL,5000,,,,,,,
748241,2024-02-25,2024,S,F,N,1,146,MIA,120,WSH,2520,,,,,,,
748242,2024-02-25,2024,S,F,N,1,121,NYM,117,HOU,2856,,,,,,,
748243,2024-02-25,2024,S,F,N,1,139,TB,116,DET,2534,,,,,,,
748244,2024-02-25,2024,S,F,N,1,144,ATL,111,BOS,5380,,,,,,,
748245,2024-02-25,2024,S,F,N,1,134,PIT,110,BAL,2526,,,,,,,
748213,2024-02-26,2024,S,F,N,1,145,CWS,140,TEX,3809,,,,,,,
748214,2024-02-26,2024,S,F,N,1,113,CIN,136,SEA,3834,,,,,,,
748215,2024-02-26,2024,S,F,N,1,135,SD,114,CLE,2530,,,,,,,
748216,2024-02-26,2024,S,F,N,1,115,COL,119,LAD,4249,,,,,,,
748217,2024-02-26,2024,S,F,N,1,158,MIL,113,CIN,2518,,,,,,,
748218,2024-02-26,2024,S,F,N,1,118,KC,112,CHC,2603,,,,,,,
748219,2024-02-26,2024,S,F,N,1,133,OAK,109,AZ,2507,,,,,,,
748220,2024-02-26,2024,S,F,N,1,137,SF,108,LAA,2532,,,,,,,
748221,2024-02-26,2024,S,F,N,1,111,BOS,143,PHI,4309,,,,,,,
748222,2024-02-26,2024,S,F,N,1,110,BAL,139,TB,2508,,,,,,,
748223,2024-02-26,2024,S,F,N,1,147,NYY,142,MIN,2523,,,,,,,
748224,2024-02-26,2024,S,F,N,1,146,MIA,138,STL,2520,,,,,,,
748225,2024-02-26,2024,S,F,N,1,141,TOR,134,PIT,2536,,,,,,,
748226,2024-02-26,2024,S,F,N,1,120,WSH,121,NYM,5000,,,,,,,
748227,2024-02-26,2024,S,F,N,1,116,DET,117,HOU,2511,,,,,,,
748228,2024-02-26,2024,S,F,N,1,144,ATL,110,BAL,5380,,,,,,,
748197,2024-02-27,2024,S,F,N,1,108,LAA,158,MIL,2500,,,,,,,
748198,2024-02-27,2024,S,F,N,1,137,SF,136,SEA,2532,,,,,,,
748199,2024-02-27,2024,S,F,N,1,119,LAD,145,CWS,3809,,,,,,,
748200,2024-02-27,2024,S,F,N,1,109,AZ,140,TEX,4249,,,,,,,
748201,2024-02-27,2024,S,F,N,1,114,CLE,133,OAK,3834,,,,,,,
748202,2024-02-27,2024,S,F,N,1,135,SD,118,KC,2530,,,,,,,
748203,2024-02-27,2024,S,F,N,1,112,CHC,113,CIN,4629,,,,,,,
748204,2024-02-27,2024,S,F,N,1,118,KC,115,COL,2603,,,,,,,
748205,2024-02-27,2024,S,F,N,1,139,TB,147,NYY,2534,,,,,,,
748206,2024-02-27,2024,S,F,N,1,121,NYM,146,MIA,2856,,,,,,,
748207,2024-02-27,2024,S,F,N,1,134,PIT,144,ATL,2526,,,,,,,
748208,2024-02-27,2024,S,F,N,1,142,MIN,143,PHI,2862,,,,,,,
748209,2024-02-27,2024,S,F,N,1,116,DET,141,TOR,2511,,,,,,,
748210,2024-02-27,2024,S,F,N,1,117,HOU,120,WSH,5000,,,,,,,
748211,2024-02-27,2024,S,F,N,1,110,BAL,116,DET,2508,,,,,,,
748212,2024-02-27,2024,S,F,N,1,138,STL,111,BOS,2520,,,,,,,
748183,2024-02-28,2024,S,F,N,1,133,OAK,137,SF,2507,,,,,,,
748184,2024-02-28,2024,S,F,N,1,140,TEX,119,LAD,2603,,,,,,,
748185,2024-02-28,2024,S,F,N,1,145,CWS,135,SD,3809,,,,,,,
748186,2024-02-28,2024,S,F,N,1,136,SEA,118,KC,2530,,,,,,,
748187,2024-02-28,2024,S,F,N,1,158,MIL,112,CHC,2518,,,,,,,
748188,2024-02-28,2024,S,F,N,1,114,CLE,109,AZ,3834,,,,,,,
748189,2024-02-28,2024,S,F,N,1,143,PHI,144,ATL,2700,,,,,,,
748190,2024-02-28,2024,S,F,N,1,115,COL,108,LAA,4249,,,,,,,
748191,2024-02-28,2024,S,F,N,1,121,NYM,138,STL,2856,,,,,,,
748192,2024-02-28,2024,S,F,N,1,141,TOR,139,TB,2536,,,,,,,
748193,2024-02-28,2024,S,F,N,1,146,MIA,117,HOU,2520,,,,,,,
748194,2024-02-28,2024,S,F,N,1,134,PIT,116,DET,2526,,,,,,,
