date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/05/2022,"Hilo, HI",NA,1,top,0-0,San Diego Christian,Hawaii Hilo,"Radomskiy, J struck out swinging.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,top,0-0,San Diego Christian,Hawaii Hilo,"Burroughs, D flied out to cf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,top,0-0,San Diego Christian,Hawaii Hilo,"Luther, Jake struck out looking.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-0,Hawaii Hilo,San Diego Christian,"Yamauchi, C. singled to shortstop.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-0,Hawaii Hilo,San Diego Christian,"Yamauchi, C. advanced to second on a wild pitch.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-0,Hawaii Hilo,San Diego Christian,"Sakay, L. grounded out to 1b unassisted3a Yamauchi, C. advanced to third.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-1,Hawaii Hilo,San Diego Christian,"Yamauchi, C. scored on a wild pitch.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-1,Hawaii Hilo,San Diego Christian,"Russell, K. grounded out to 2b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-1,Hawaii Hilo,San Diego Christian,"Gallagher, J doubled to center field.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-1,Hawaii Hilo,San Diego Christian,"Cho, R. reached on a throwing error by 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-1,Hawaii Hilo,San Diego Christian,"Kalua, K. walked3a Cho, R. advanced to second3a Gallagher, J advanced to third.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-1,Hawaii Hilo,San Diego Christian,"Min, C. flied out to lf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,1,bot,0-1,Hawaii Hilo,San Diego Christian,R: 1 H: 2 E: 1 LOB: 3,https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,top,0-1,San Diego Christian,Hawaii Hilo,"Pankratz, Tr flied out to lf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,top,0-1,San Diego Christian,Hawaii Hilo,"Arnone, Alec struck out swinging.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,top,0-1,San Diego Christian,Hawaii Hilo,"Macchia, Ant singled to right field.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,top,0-1,San Diego Christian,Hawaii Hilo,"Lystlund, Ry struck out swinging.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,top,0-1,San Diego Christian,Hawaii Hilo,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,bot,0-1,Hawaii Hilo,San Diego Christian,"Yoshida, B struck out swinging, out at first c to 1b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,bot,0-1,Hawaii Hilo,San Diego Christian,"Komatsu, B. grounded out to p.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,2,bot,0-1,Hawaii Hilo,San Diego Christian,"Yamauchi, C. grounded out to 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,top,0-1,San Diego Christian,Hawaii Hilo,"Chun, Kenned flied out to cf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,top,0-1,San Diego Christian,Hawaii Hilo,"Tabello, Sym struck out looking.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,top,0-1,San Diego Christian,Hawaii Hilo,"Radomskiy, J grounded out to 1b unassisted, bunt.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-1,Hawaii Hilo,San Diego Christian,"Sakay, L. singled to second base.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-1,Hawaii Hilo,San Diego Christian,"Russell, K. grounded out to p3a Sakay, L. advanced to second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-1,Hawaii Hilo,San Diego Christian,"Gallagher, J singled to right field3a Sakay, L. advanced to third.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-1,Hawaii Hilo,San Diego Christian,"Gallagher, J stole second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-2,Hawaii Hilo,San Diego Christian,"Cho, R. singled to right field, RBI3a Gallagher, J advanced to third3a Sakay, L. scored.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-3,Hawaii Hilo,San Diego Christian,"Cho, R. advanced to second on a wild pitch3a Gallagher, J scored on a wild pitch.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-3,Hawaii Hilo,San Diego Christian,"Kalua, K. struck out swinging.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-3,Hawaii Hilo,San Diego Christian,"Min, C. flied out to 2b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,3,bot,0-3,Hawaii Hilo,San Diego Christian,R: 2 H: 3 LOB: 1,https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,top,0-3,San Diego Christian,Hawaii Hilo,"Burroughs, D flied out to lf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,top,0-3,San Diego Christian,Hawaii Hilo,"Luther, Jake grounded out to 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,top,0-3,San Diego Christian,Hawaii Hilo,"Pankratz, Tr grounded out to 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,"Sexton, Cona to p for Ross, Joshua.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,"Yoshida, B hit by pitch.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,"Komatsu, B. singled to shortstop3a Yoshida, B advanced to second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,"Yamauchi, C. singled to first base, SAC, bunt3a Komatsu, B. advanced to second3a Yoshida, B advanced to third.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,"Sakay, L. struck out swinging.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,"Russell, K. struck out swinging.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,"Gallagher, J struck out swinging.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,4,bot,0-3,Hawaii Hilo,San Diego Christian,H: 2 LOB: 3,https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,0-3,San Diego Christian,Hawaii Hilo,"Umino, T. to p for Yamasaki, J..",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,0-3,San Diego Christian,Hawaii Hilo,"Arnone, Alec singled up the middle.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,0-3,San Diego Christian,Hawaii Hilo,"Macchia, Ant grounded out to p, SAC, bunt3a Arnone, Alec advanced to second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,1-3,San Diego Christian,Hawaii Hilo,"Lystlund, Ry singled to left field, RBI3a Arnone, Alec scored.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,1-3,San Diego Christian,Hawaii Hilo,"Strohm, Bill pinch hit for Chun, Kenned.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,1-3,San Diego Christian,Hawaii Hilo,"Hirata, C. to p for Umino, T..",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,1-3,San Diego Christian,Hawaii Hilo,"Strohm, Bill singled to left field3a Lystlund, Ry advanced to second, advanced to third on a throwing error by c.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,2-3,San Diego Christian,Hawaii Hilo,"Tabello, Sym walked3a Strohm, Bill advanced to second3a Lystlund, Ry scored, unearned.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,3-3,San Diego Christian,Hawaii Hilo,"Radomskiy, J singled to center field, RBI3a Tabello, Sym advanced to third3a Strohm, Bill scored, unearned.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,3-3,San Diego Christian,Hawaii Hilo,"Norquist, A. to p for Hirata, C..",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,4-3,San Diego Christian,Hawaii Hilo,"Burroughs, D flied out to rf, SF, RBI3a Tabello, Sym scored, unearned.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,4-3,San Diego Christian,Hawaii Hilo,"Radomskiy, J stole second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,4-3,San Diego Christian,Hawaii Hilo,"Luther, Jake walked.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,4-3,San Diego Christian,Hawaii Hilo,"Luther, Jake advanced to second on a balk3a Radomskiy, J advanced to third on a balk.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,top,4-3,San Diego Christian,Hawaii Hilo,"Pankratz, Tr flied out to cf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-3,Hawaii Hilo,San Diego Christian,"Cho, R. doubled to center field.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-3,Hawaii Hilo,San Diego Christian,"Kalua, K. singled to third base, bunt3a Cho, R. advanced to third.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-4,Hawaii Hilo,San Diego Christian,"Cho, R. scored on a wild pitch.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-4,Hawaii Hilo,San Diego Christian,"Scotvold, Jo to p for Sexton, Cona.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-4,Hawaii Hilo,San Diego Christian,"Min, C. walked3a Kalua, K. advanced to second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-4,Hawaii Hilo,San Diego Christian,"Min, C. advanced to second on a wild pitch3a Kalua, K. advanced to third on a wild pitch.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-4,Hawaii Hilo,San Diego Christian,"Yoshida, B struck out looking.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-4,Hawaii Hilo,San Diego Christian,"Komatsu, B. fouled out to 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,5,bot,4-4,Hawaii Hilo,San Diego Christian,"Yamauchi, C. flied out to cf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,"Meyer, D. to p for Norquist, A..",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,"Kanbara,J to c for Kalua, K..",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,"Arnone, Alec flied out to cf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,"Macchia, Ant grounded out to p.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,"Lystlund, Ry singled to third base.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,"Strohm, Bill grounded out to 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,bot,4-4,Hawaii Hilo,San Diego Christian,"Sakay, L. lined out to ss.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,bot,4-4,Hawaii Hilo,San Diego Christian,"Russell, K. flied out to 2b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,bot,4-4,Hawaii Hilo,San Diego Christian,"Gallagher, J reached on an error by 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,bot,4-4,Hawaii Hilo,San Diego Christian,"Cho, R. reached on a fielder's choice3a Gallagher, J out at second 3b to 2b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,6,top,4-4,San Diego Christian,Hawaii Hilo,E: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-4,San Diego Christian,Hawaii Hilo,"Cabral, Cade pinch hit for Tabello, Sym.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-4,San Diego Christian,Hawaii Hilo,"Cabral, Cade grounded out to 3b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-4,San Diego Christian,Hawaii Hilo,"Radomskiy, J walked.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-4,San Diego Christian,Hawaii Hilo,"Burroughs, D flied out to rf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-4,San Diego Christian,Hawaii Hilo,"Luther, Jake walked3a Radomskiy, J advanced to second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-4,San Diego Christian,Hawaii Hilo,"Kea,J to p for Meyer, D..",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-4,San Diego Christian,Hawaii Hilo,"Pankratz, Tr flied out to lf.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-5,San Diego Christian,Hawaii Hilo,LOB: 2,https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Berroth, Pey to 2b for Burroughs, D.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Burroughs, D to ss for Cabral, Cade.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Kanbara,J out at first 1b to p.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Min, C. fouled out to 1b.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Peterson,E pinch hit for Yoshida, B.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Peterson,E singled to left field.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Peterson,E stole second.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-4,Hawaii Hilo,San Diego Christian,"Komatsu, B. walked.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,bot,4-5,Hawaii Hilo,San Diego Christian,"Yamauchi, C. singled to center field, RBI3a Komatsu, B. advanced to second3a Peterson,E scored.",https://stats.ncaa.org/game/play_by_play/5197717,5197717
02/05/2022,"Hilo, HI",NA,7,top,4-5,San Diego Christian,Hawaii Hilo,R: 1 H: 2 LOB: 2,https://stats.ncaa.org/game/play_by_play/5197717,5197717
