date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/12/2022,"Dallas, TX",NA,1,top,0-0,Austin,Dallas Christian,Sergio De Pa grounded out to 3b (0-1 K).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,top,0-0,Austin,Dallas Christian,Jake Webster lined out to lf (1-1 FB).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,top,0-0,Austin,Dallas Christian,Zack Mahoney grounded out to 3b (0-0).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,bot,0-0,Dallas Christian,Austin,Whitehurst grounded out to p (2-1 FBB).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,bot,0-0,Dallas Christian,Austin,Andrews grounded out to 1b unassisted (0-1 F).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,bot,0-0,Dallas Christian,Austin,S. Reyes singled up the middle (1-1 KB).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,bot,0-0,Dallas Christian,Austin,J. Stone singled through the left side (1-0 B); S. Reyes advanced to second.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,bot,0-0,Dallas Christian,Austin,J. Freeman popped up to 2b (1-1 BK).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,1,bot,0-0,Dallas Christian,Austin,H: 2 LOB: 2,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,top,0-0,Austin,Dallas Christian,Logan Ballar hit by pitch (2-1 BKB).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,top,0-0,Austin,Dallas Christian,Brandon Evan reached on a fielding error by 2b (0-0); Logan Ballar advanced to second.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,top,0-0,Austin,Dallas Christian,"Branson Vraz singled to pitcher, bunt (0-0); Brandon Evan advanced to second; Logan Ballar advanced to third.",https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,top,0-0,Austin,Dallas Christian,Garrett Gray flied out to cf (0-2 KKF); Logan Ballar out at home cf to c.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,top,0-0,Austin,Dallas Christian,Beau Beshire struck out swinging (2-2 BBKSFS).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,top,0-0,Austin,Dallas Christian,H: 1 E: 1 LOB: 2,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,bot,0-0,Dallas Christian,Austin,James Adams to p for Ryan Culp.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,bot,0-0,Dallas Christian,Austin,Frajul walked (3-2 KBBFFBFB).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,bot,0-0,Dallas Christian,Austin,C. Ness singled through the left side (2-0 BB); Frajul advanced to second.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,bot,0-0,Dallas Christian,Austin,C. Morrow reached on a fielder's choice to center field (0-1 F); C. Ness advanced to second; Frajul out at third cf to 3b.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,bot,0-0,Dallas Christian,Austin,C. Mcqueen struck out swinging (1-2 FFBS).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,bot,0-0,Dallas Christian,Austin,Whitehurst flied out to rf (0-2 FF).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,2,top,0-0,Austin,Dallas Christian,H: 1 LOB: 2,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,top,0-0,Austin,Dallas Christian,Brett Garner struck out swinging (1-2 BKKS).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,top,0-0,Austin,Dallas Christian,Sergio De Pa singled to shortstop (2-2 BBKF).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,top,0-0,Austin,Dallas Christian,"Sergio De Pa advanced to second on a throwing error by c, advanced to third on a fielding error by rf.",https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,top,0-0,Austin,Dallas Christian,Jake Webster grounded out to 3b (2-1 BBK).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,top,1-0,Austin,Dallas Christian,"Zack Mahoney singled to center field, RBI (3-2 BBKBSF); Sergio De Pa scored, unearned.",https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,top,1-0,Austin,Dallas Christian,Logan Ballar popped up to 2b (3-1 BBBK).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,bot,1-0,Dallas Christian,Austin,Andrews singled up the middle (0-1 F).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,bot,1-0,Dallas Christian,Austin,S. Reyes singled to first base (1-2 KSFB); Andrews advanced to second.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,bot,1-0,Dallas Christian,Austin,J. Stone fouled out to 1b (0-0).,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,bot,1-0,Dallas Christian,Austin,J. Freeman walked (3-1 BFBBB); S. Reyes advanced to second; Andrews advanced to third.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,bot,1-0,Dallas Christian,Austin,Snelson pinch ran for J. Freeman.,https://stats.ncaa.org/game/play_by_play/5236247,5236247
02/12/2022,"Dallas, TX",NA,3,bot,1-1,Dallas Christian,Austin,"Snelson advanced to second on a passed ball; S. Reyes advanced to third; Andrews scored, unearned.",https://stats.ncaa.org/game/play_by_play/5236247,5236247
