inning,score,batting,fielding,description,game_pbp_url,game_pbp_id
1,1-0,Kentucky St.,Clark Atlanta,"Pierce grounds out, pitcher Fegins to first baseman Gaskin",https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,2-0,Kentucky St.,Clark Atlanta,Lawson doubles on a line drive to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,3-0,Kentucky St.,Clark Atlanta,Higgs lines out to first baseman Gaskin,https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,4-0,Kentucky St.,Clark Atlanta,Lawson steals 3rd,https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,6-0,Kentucky St.,Clark Atlanta,Saylor doubles on a line drive to left fielder Brown Jr.. Lawson scores,https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,7-0,Kentucky St.,Clark Atlanta,Thompson pops out in foul territory to third baseman Bing,https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,7-1,Clark Atlanta,Kentucky St.,"Mason grounds out, second baseman to first baseman",https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,7-1,Clark Atlanta,Kentucky St.,"Lineup changed: Brown Jr. activated, batting 2nd",https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,7-2,Clark Atlanta,Kentucky St.,Brown Jr. out at first on dropped 3rd strike,https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,7-2,Clark Atlanta,Kentucky St.,"Lineup changed: Burrell activated, batting 3rd",https://stats.ncaa.org/game/play_by_play/5251312,5251312
1,7-3,Clark Atlanta,Kentucky St.,"Burrell strikes out looking, Hureskin pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,7-3,Kentucky St.,Clark Atlanta,"Lineup changed: Schank activated, batting 6th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,7-3,Kentucky St.,Clark Atlanta,Lineup changed: Pierce in at catcher,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,7-3,Kentucky St.,Clark Atlanta,Lineup changed: Lawson in at first baseman,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,7-3,Kentucky St.,Clark Atlanta,Lineup changed: Higgs in at left fielder,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,7-3,Kentucky St.,Clark Atlanta,Lineup changed: Saylor in at center fielder,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,7-3,Kentucky St.,Clark Atlanta,Lineup changed: Thompson in at third baseman,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,7-3,Kentucky St.,Clark Atlanta,Lineup changed: Schank in at designated hitter,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,8-3,Kentucky St.,Clark Atlanta,Schank flies out to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,8-3,Kentucky St.,Clark Atlanta,"Lineup changed: Famble activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,9-3,Kentucky St.,Clark Atlanta,"Famble strikes out looking, Fegins pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,9-3,Kentucky St.,Clark Atlanta,"Lineup changed: Chambers activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-3,Kentucky St.,Clark Atlanta,"Chambers strikes out swinging, Fegins pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-3,Clark Atlanta,Kentucky St.,"Lineup changed: Gaskin activated, batting 4th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-3,Clark Atlanta,Kentucky St.,Lineup changed: Famble in at second baseman,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-3,Clark Atlanta,Kentucky St.,Lineup changed: Chambers in at right fielder,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-4,Clark Atlanta,Kentucky St.,"Gaskin is hit by pitch, Hureskin pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-4,Clark Atlanta,Kentucky St.,"Lineup changed: Freeman activated, batting 5th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-5,Clark Atlanta,Kentucky St.,"Freeman strikes out swinging, Hureskin pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-5,Clark Atlanta,Kentucky St.,"Lineup changed: Manuel activated, batting 6th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-7,Clark Atlanta,Kentucky St.,Manuel doubles on a line drive to center fielder Saylor,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-7,Clark Atlanta,Kentucky St.,"Lineup changed: Page activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-8,Clark Atlanta,Kentucky St.,Gaskin scores,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-9,Clark Atlanta,Kentucky St.,"Page walks, Hureskin pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-9,Clark Atlanta,Kentucky St.,"Lineup changed: Bing activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-12,Clark Atlanta,Kentucky St.,Bing singles on a line drive to center fielder Saylor,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-12,Clark Atlanta,Kentucky St.,"Lineup changed: Swift activated, batting 9th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-16,Clark Atlanta,Kentucky St.,Swift grounds out to first baseman Lawson. Manuel scores,https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-17,Clark Atlanta,Kentucky St.,"Mason strikes out swinging, Hureskin pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
2,10-17,Clark Atlanta,Kentucky St.,R: 2 H: 2 LOB: 2,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,10-17,Kentucky St.,Clark Atlanta,"Lineup changed: Kumar activated, batting 9th",https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,11-17,Kentucky St.,Clark Atlanta,Kumar flies out to right fielder Swift,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,12-17,Kentucky St.,Clark Atlanta,Pierce homers on a fly ball to right field,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,13-17,Kentucky St.,Clark Atlanta,Lawson hits an inside the park home run on a fly ball to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,14-17,Kentucky St.,Clark Atlanta,"Higgs grounds out, second baseman Mason to first baseman Gaskin",https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,15-17,Kentucky St.,Clark Atlanta,Saylor hits a ground ball and reaches on an error by first baseman Gaskin,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,17-17,Kentucky St.,Clark Atlanta,Thompson homers on a fly ball to left field. Saylor scores,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,18-17,Kentucky St.,Clark Atlanta,Schank flies out to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,18-18,Clark Atlanta,Kentucky St.,"Brown Jr. strikes out swinging, Hureskin pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,18-19,Clark Atlanta,Kentucky St.,"Burrell is hit by pitch, Hureskin pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,18-20,Clark Atlanta,Kentucky St.,"Burrell caught stealing 2nd, catcher Pierce to second baseman Famble",https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,18-21,Clark Atlanta,Kentucky St.,Gaskin doubles on a fly ball to center fielder Saylor,https://stats.ncaa.org/game/play_by_play/5251312,5251312
3,18-22,Clark Atlanta,Kentucky St.,Freeman pops out in foul territory to shortstop,https://stats.ncaa.org/game/play_by_play/5251312,5251312
4,19-22,Kentucky St.,Clark Atlanta,Famble flies out to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5251312,5251312
4,20-22,Kentucky St.,Clark Atlanta,Chambers flies out to right fielder Swift,https://stats.ncaa.org/game/play_by_play/5251312,5251312
4,21-22,Kentucky St.,Clark Atlanta,"Kumar strikes out swinging, Fegins pitching",https://stats.ncaa.org/game/play_by_play/5251312,5251312
4,21-23,Clark Atlanta,Kentucky St.,"Manuel bunts out, pitcher Hureskin to first baseman Lawson",https://stats.ncaa.org/game/play_by_play/5251312,5251312
4,21-24,Clark Atlanta,Kentucky St.,"Page grounds out, third baseman Thompson to first baseman Lawson",https://stats.ncaa.org/game/play_by_play/5251312,5251312
4,21-25,Clark Atlanta,Kentucky St.,"Bing grounds out, third baseman Thompson to first baseman Lawson",https://stats.ncaa.org/game/play_by_play/5251312,5251312
5,22-25,Kentucky St.,Clark Atlanta,Pierce flies out to left fielder Brown Jr.,https://stats.ncaa.org/game/play_by_play/5251312,5251312
5,23-25,Kentucky St.,Clark Atlanta,Lawson flies out to left fielder Brown Jr.,https://stats.ncaa.org/game/play_by_play/5251312,5251312
5,24-25,Kentucky St.,Clark Atlanta,Higgs flies out to left fielder Brown Jr.,https://stats.ncaa.org/game/play_by_play/5251312,5251312
5,24-26,Clark Atlanta,Kentucky St.,"Swift grounds out, second baseman Famble to first baseman Lawson",https://stats.ncaa.org/game/play_by_play/5251312,5251312
