date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/26/2022,EMU Baseball Field,NA,1,top,0-0,Penn St.-Behrend,East. Mennonite,A. Slate struck out looking.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,top,0-0,Penn St.-Behrend,East. Mennonite,C. Harger reached first on a fielding error by 3b.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,top,0-0,Penn St.-Behrend,East. Mennonite,I. Stouffer singled to right field; C. Harger advanced to second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,top,0-0,Penn St.-Behrend,East. Mennonite,J. Jones reached on a fielder's choice; I. Stouffer out at second 3b to ss; C. Harger advanced to third.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,top,0-0,Penn St.-Behrend,East. Mennonite,Z. Bowen singled; J. Jones advanced to second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,top,0-0,Penn St.-Behrend,East. Mennonite,D. Watters struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,top,0-2,Penn St.-Behrend,East. Mennonite,H: 2 E: 1 LOB: 3,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-0,East. Mennonite,Penn St.-Behrend,J. Jones walked.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-1,East. Mennonite,Penn St.-Behrend,"J. Lee doubled, RBI; J. Jones scored.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-1,East. Mennonite,Penn St.-Behrend,J. Lee advanced to third on a passed ball.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-2,East. Mennonite,Penn St.-Behrend,"B. Lindsay flied out to cf, SAC, RBI; J. Lee scored.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-2,East. Mennonite,Penn St.-Behrend,G. Riddick walked.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-2,East. Mennonite,Penn St.-Behrend,G. Riddick stole second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-2,East. Mennonite,Penn St.-Behrend,N. Solomon struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,bot,0-2,East. Mennonite,Penn St.-Behrend,R. Tricarico grounded out to p.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,1,top,0-2,Penn St.-Behrend,East. Mennonite,R: 2 H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,top,0-2,Penn St.-Behrend,East. Mennonite,C. Weller grounded out to ss.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,top,0-2,Penn St.-Behrend,East. Mennonite,C. Palmer struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,top,0-2,Penn St.-Behrend,East. Mennonite,Z. Bogats reached first on a fielding error by 3b.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,top,0-2,Penn St.-Behrend,East. Mennonite,Z. Bogats stole second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,top,0-2,Penn St.-Behrend,East. Mennonite,A. Slate struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,top,0-2,Penn St.-Behrend,East. Mennonite,E: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,bot,0-2,East. Mennonite,Penn St.-Behrend,A. Gulisano grounded out to 3b.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,bot,0-2,East. Mennonite,Penn St.-Behrend,E. Spraker singled to right field.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,bot,0-2,East. Mennonite,Penn St.-Behrend,N. Arnold flied out to cf.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,bot,0-2,East. Mennonite,Penn St.-Behrend,E. Spraker stole second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,bot,0-2,East. Mennonite,Penn St.-Behrend,J. Jones lined out to rf.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,2,top,0-2,Penn St.-Behrend,East. Mennonite,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,top,0-2,Penn St.-Behrend,East. Mennonite,C. Harger grounded out to c.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,top,0-2,Penn St.-Behrend,East. Mennonite,I. Stouffer grounded out to ss.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,top,0-2,Penn St.-Behrend,East. Mennonite,J. Jones flied out to cf.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,bot,0-2,East. Mennonite,Penn St.-Behrend,J. Lee grounded out to 2b.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,bot,0-3,East. Mennonite,Penn St.-Behrend,"B. Lindsay homered, RBI.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,bot,0-3,East. Mennonite,Penn St.-Behrend,G. Riddick struck out looking.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,bot,0-3,East. Mennonite,Penn St.-Behrend,N. Solomon struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,3,bot,0-3,East. Mennonite,Penn St.-Behrend,R: 1 H: 1,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,0-3,Penn St.-Behrend,East. Mennonite,Z. Bowen flied out to cf.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,0-3,Penn St.-Behrend,East. Mennonite,D. Watters singled to center field.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,0-3,Penn St.-Behrend,East. Mennonite,C. Weller walked; D. Watters advanced to second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,0-3,Penn St.-Behrend,East. Mennonite,H. Jamison pinch ran for D. Watters.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,0-3,Penn St.-Behrend,East. Mennonite,C. Weller advanced to second on a passed ball; H. Jamison advanced to third on a passed ball.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,2-3,Penn St.-Behrend,East. Mennonite,"C. Palmer singled, 2 RBI; C. Weller scored; H. Jamison scored.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,2-3,Penn St.-Behrend,East. Mennonite,C. Palmer advanced to second on a passed ball.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,2-3,Penn St.-Behrend,East. Mennonite,Z. Bogats struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,2-3,Penn St.-Behrend,East. Mennonite,C. Palmer advanced to third on a passed ball.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,3-3,Penn St.-Behrend,East. Mennonite,"A. Slate singled to center field, RBI; C. Palmer scored.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,top,3-3,Penn St.-Behrend,East. Mennonite,C. Harger grounded out to p.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,bot,3-3,East. Mennonite,Penn St.-Behrend,R. Tricarico struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,bot,3-3,East. Mennonite,Penn St.-Behrend,A. Gulisano struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,bot,3-3,East. Mennonite,Penn St.-Behrend,"E. Spraker singled, bunt.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,bot,3-3,East. Mennonite,Penn St.-Behrend,N. Arnold walked; E. Spraker advanced to second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,bot,3-3,East. Mennonite,Penn St.-Behrend,N. Arnold advanced to second on a passed ball; E. Spraker advanced to third on a passed ball.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,4,bot,3-3,East. Mennonite,Penn St.-Behrend,J. Jones struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,top,3-3,Penn St.-Behrend,East. Mennonite,A. Abad to p for B. Barrett.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,top,3-3,Penn St.-Behrend,East. Mennonite,I. Stouffer flied out to cf.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,top,3-3,Penn St.-Behrend,East. Mennonite,J. Jones popped up to 2b.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,top,3-3,Penn St.-Behrend,East. Mennonite,Z. Bowen struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,bot,3-3,East. Mennonite,Penn St.-Behrend,R. Weaver to p for T. Zbezinski.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,bot,3-3,East. Mennonite,Penn St.-Behrend,J. Lee flied out to cf.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,bot,3-3,East. Mennonite,Penn St.-Behrend,B. Lindsay flied out to cf.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,5,bot,3-3,East. Mennonite,Penn St.-Behrend,"G. Riddick grounded out to p, bunt.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,top,3-3,Penn St.-Behrend,East. Mennonite,H. Jamison struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,top,3-3,Penn St.-Behrend,East. Mennonite,C. Weller hit by pitch.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,top,5-3,Penn St.-Behrend,East. Mennonite,"C. Palmer homered, 2 RBI; C. Weller scored.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,top,5-3,Penn St.-Behrend,East. Mennonite,Z. Bogats struck out swinging.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,top,5-3,Penn St.-Behrend,East. Mennonite,"A. Slate singled, bunt.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,top,5-3,Penn St.-Behrend,East. Mennonite,"A. Slate out at second c to 2b, caught stealing.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,bot,5-3,East. Mennonite,Penn St.-Behrend,N. Solomon singled to right field.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,bot,5-3,East. Mennonite,Penn St.-Behrend,D. Petitt pinch ran for N. Solomon.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,bot,5-3,East. Mennonite,Penn St.-Behrend,R. Tricarico grounded out to p; D. Petitt advanced to second.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,bot,5-3,East. Mennonite,Penn St.-Behrend,B. Sargent pinch hit for A. Gulisano.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,bot,5-3,East. Mennonite,Penn St.-Behrend,B. Sargent popped up to 2b.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,bot,5-3,East. Mennonite,Penn St.-Behrend,E. Spraker reached first on a throwing error by 3b; D. Petitt advanced to third.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,6,bot,5-3,East. Mennonite,Penn St.-Behrend,"E. Spraker out at first p to 1b, picked off.",https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,7,top,5-3,Penn St.-Behrend,East. Mennonite,L. Mason to lf for B. Sargent.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,7,top,5-3,Penn St.-Behrend,East. Mennonite,C. Harger singled to center field.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
02/26/2022,EMU Baseball Field,NA,7,top,5-3,Penn St.-Behrend,East. Mennonite,I. Stouffer struck out looking.,https://stats.ncaa.org/game/play_by_play/5215994,5215994
