date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/18/2022,"Lake Charles, La.",NA,1,top,0-0,Stony Brook,McNeese,E. Fox grounded out to ss (1-1 BF).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,top,0-0,Stony Brook,McNeese,B. Paulsen grounded out to 2b (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,top,0-0,Stony Brook,McNeese,E. Giordano lined out to 2b (0-1 S).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-0,McNeese,Stony Brook,Harden lined out to 2b (2-2 BSSB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-0,McNeese,Stony Brook,Burckel hit by pitch (2-1 BBS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-0,McNeese,Stony Brook,"Gonzales, J. reached on an error by 2b (2-1 FBB); Burckel advanced to third.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-1,McNeese,Stony Brook,"Gonzales, J. stole second; Burckel stole home, unearned.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-1,McNeese,Stony Brook,Obregon struck out looking (2-2 SKFBFBFK).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-1,McNeese,Stony Brook,Johnson hit by pitch (1-1 BK).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-1,McNeese,Stony Brook,Morris struck out swinging (1-2 SSFBS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,1,bot,0-1,McNeese,Stony Brook,R: 1 E: 1 LOB: 2,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,0-1,Stony Brook,McNeese,S. Paradine walked (3-1 BKBBB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,0-1,Stony Brook,McNeese,S. Leuthner singled through the right side (0-1 K); S. Paradine advanced to second.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,0-1,Stony Brook,McNeese,M. Brown-Eir flied out to cf (2-2 KBSFB); S. Paradine advanced to third.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,0-1,Stony Brook,McNeese,C. Durkan struck out swinging (1-2 BSFS); S. Leuthner stole second.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,1-1,Stony Brook,McNeese,"D. Yalon singled to third base, RBI (2-0 BB); S. Leuthner advanced to third; S. Paradine scored.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,1-1,Stony Brook,McNeese,D. Yalon stole second.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,1-1,Stony Brook,McNeese,I. Carter walked (3-2 BSBKBFB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,top,1-1,Stony Brook,McNeese,E. Fox grounded out to ss (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,bot,1-1,McNeese,Stony Brook,Bourque grounded out to 2b (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,bot,1-1,McNeese,Stony Brook,Gauthier struck out swinging (2-2 FBSBS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,2,bot,1-1,McNeese,Stony Brook,Thibodaux flied out to rf (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,top,1-1,Stony Brook,McNeese,B. Paulsen reached on an error by 1b (2-2 BSFB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,top,1-1,Stony Brook,McNeese,E. Giordano singled through the left side (1-2 BFK); B. Paulsen advanced to second.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,top,1-1,Stony Brook,McNeese,S. Paradine grounded out to ss (1-2 SBKF); E. Giordano advanced to second; B. Paulsen advanced to third.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,top,2-1,Stony Brook,McNeese,"S. Leuthner grounded out to 3b, RBI (2-1 BBF); E. Giordano advanced to third; B. Paulsen scored, unearned.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,top,2-1,Stony Brook,McNeese,M. Brown-Eir grounded out to 3b (2-1 BBS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,bot,2-1,McNeese,Stony Brook,Harden grounded out to p (1-2 SFB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,bot,2-1,McNeese,Stony Brook,"Burckel singled to third base, bunt (2-0 BB).",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,bot,2-1,McNeese,Stony Brook,"Gonzales, J. grounded out to p, SAC, bunt; Burckel advanced to second.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,bot,2-2,McNeese,Stony Brook,"Obregon singled through the right side, RBI (1-1 KB); Burckel scored.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,3,bot,2-2,McNeese,Stony Brook,Johnson struck out looking (3-2 BBSBSFK).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,2-2,Stony Brook,McNeese,C. Durkan singled up the middle (0-1 K).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,2-2,Stony Brook,McNeese,C. Durkan stole second.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,2-2,Stony Brook,McNeese,D. Yalon flied out to cf (1-2 KBS); C. Durkan advanced to third.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,2-2,Stony Brook,McNeese,Vega to p for Hudgens.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,2-2,Stony Brook,McNeese,I. Carter struck out swinging (1-2 KBKS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,3-2,Stony Brook,McNeese,"E. Fox singled to third base, RBI (2-1 BBK); C. Durkan scored.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,3-2,Stony Brook,McNeese,E. Fox stole second.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,4-2,Stony Brook,McNeese,"B. Paulsen singled to right field, RBI (3-0 BBB); E. Fox scored.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,4-2,Stony Brook,McNeese,B. Paulsen advanced to second on an error by rf.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,4-2,Stony Brook,McNeese,B. Paulsen advanced to third on a wild pitch.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,top,4-2,Stony Brook,McNeese,E. Giordano flied out to lf (2-2 KBKB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,bot,4-2,McNeese,Stony Brook,Morris struck out swinging (2-2 BSBSS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,bot,4-2,McNeese,Stony Brook,Bourque grounded out to 2b (2-1 BBF).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,4,bot,4-2,McNeese,Stony Brook,Gauthier struck out swinging (1-2 FBFFFS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,5,top,4-2,Stony Brook,McNeese,S. Paradine grounded out to 3b (2-0 BB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,5,top,4-2,Stony Brook,McNeese,S. Leuthner grounded out to ss (1-1 FB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,5,top,4-2,Stony Brook,McNeese,M. Brown-Eir lined out to rf (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,5,bot,4-2,McNeese,Stony Brook,Thibodaux grounded out to ss (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,5,bot,4-2,McNeese,Stony Brook,Harden struck out looking (3-2 FFBBFBK).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,5,bot,4-2,McNeese,Stony Brook,Burckel struck out swinging (2-2 FSBBS).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,top,4-2,Stony Brook,McNeese,C. Durkan singled through the right side (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,top,4-2,Stony Brook,McNeese,D. Yalon flied out to cf (1-0 B).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,top,4-2,Stony Brook,McNeese,I. Carter singled to left field (1-1 BF); C. Durkan advanced to second.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,top,4-2,Stony Brook,McNeese,E. Fox flied out to lf (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,top,4-2,Stony Brook,McNeese,"B. Paulsen struck out swinging, out at first c to 1b (0-2 KK).",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,top,4-5,Stony Brook,McNeese,H: 2 LOB: 2,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-2,McNeese,Stony Brook,D. Sharkey to p for N DeGennaro.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-2,McNeese,Stony Brook,"Gonzales, J. walked (3-1 BBBKB).",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-2,McNeese,Stony Brook,Obregon fouled out to rf (1-2 KSB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-2,McNeese,Stony Brook,"Johnson hit by pitch (1-1 KB); Gonzales, J. advanced to second.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-5,McNeese,Stony Brook,"Morris homered to right field, 3 RBI (1-2 BSFF); Johnson scored; Gonzales, J. scored.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-5,McNeese,Stony Brook,Bourque walked (3-1 BKBBB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-5,McNeese,Stony Brook,B. Fero to p for D. Sharkey.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-5,McNeese,Stony Brook,Gauthier flied out to cf (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,bot,4-5,McNeese,Stony Brook,"Bourque out at second c to ss, caught stealing.",https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,6,top,4-5,Stony Brook,McNeese,R: 3 H: 1,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,7,top,4-5,Stony Brook,McNeese,Shadrick to p for Vega.,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,7,top,4-5,Stony Brook,McNeese,E. Giordano grounded out to ss (0-0).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
02/18/2022,"Lake Charles, La.",NA,7,top,4-5,Stony Brook,McNeese,S. Paradine grounded out to 3b (1-1 FB).,https://stats.ncaa.org/game/play_by_play/5212500,5212500
