inning,score,batting,fielding,description,game_pbp_url,game_pbp_id
1,1-0,Stillman,Morehouse,"Woodward walks, Mohammed pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,3-0,Stillman,Morehouse,"Powell walks, Mohammed pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,6-0,Stillman,Morehouse,"Esterling walks, Mohammed pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,10-0,Stillman,Morehouse,"Rodriguez is hit by pitch, Mohammed pitching. Woodward scores",https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,14-0,Stillman,Morehouse,"Collins grounds into a double play, second baseman Fleming to shortstop Avent to first baseman Odom. Powell scores",https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,16-0,Stillman,Morehouse,Lewis singles on a line drive to center fielder Proper. Esterling scores,https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,17-0,Stillman,Morehouse,Lewis steals 2nd,https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,18-0,Stillman,Morehouse,"Cummings grounds out, second baseman Fleming to first baseman Odom",https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,18-1,Morehouse,Stillman,"Brown grounds out, third baseman Lewis to first baseman Cummings",https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,18-2,Morehouse,Stillman,Proper singles on a fly ball to center fielder Whittle,https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,18-3,Morehouse,Stillman,Odom pops out to second baseman Rodriguez,https://stats.ncaa.org/game/play_by_play/5213088,5213088
1,18-4,Morehouse,Stillman,Vega out at first on dropped 3rd strike,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,19-4,Stillman,Morehouse,"Reese strikes out swinging, Mohammed pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,20-4,Stillman,Morehouse,Whittle flies out to right fielder Brown,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,21-4,Stillman,Morehouse,Woodward singles on a line drive to second baseman Fleming,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,22-4,Stillman,Morehouse,Woodward steals 2nd,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,23-4,Stillman,Morehouse,"Powell is hit by pitch, Mohammed pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,24-4,Stillman,Morehouse,Esterling pops out in foul territory to catcher Savoy,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,24-8,Stillman,Morehouse,H: 1 LOB: 2,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,24-5,Morehouse,Stillman,Redding flies out to left fielder Reese,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,24-6,Morehouse,Stillman,Greene grounds out to second baseman Rodriguez,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,24-7,Morehouse,Stillman,Fleming hits a ground ball and reaches on an error by third baseman Lewis,https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,24-8,Morehouse,Stillman,"Avent strikes out swinging, Minor pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
2,24-8,Stillman,Morehouse,E: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,24-8,Stillman,Morehouse,Lineup changed: Vega in at pitcher,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,25-8,Stillman,Morehouse,"Rodriguez walks, Vega pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,27-8,Stillman,Morehouse,"Collins walks, Vega pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,28-8,Stillman,Morehouse,Rodriguez steals 3rd,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,28-8,Stillman,Morehouse,Lineup changed: Smallwood in for pitcher Vega,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,28-8,Stillman,Morehouse,Lineup changed: Cottingham in for catcher Collins,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,29-8,Stillman,Morehouse,Cottingham steals 2nd,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,32-8,Stillman,Morehouse,Lewis out on sacrifice fly to left fielder Greene. Rodriguez scores,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,34-8,Stillman,Morehouse,"Cummings singles on a line drive, center fielder Proper to second baseman Fleming to right fielder Brown. Cottingham scores",https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,35-8,Stillman,Morehouse,Reese grounds out to shortstop Avent,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,35-9,Morehouse,Stillman,Savoy lines out to left fielder Reese,https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,35-10,Morehouse,Stillman,"Brown walks, Minor pitching",https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,35-10,Morehouse,Stillman,"Brown picked off at 1st, pitcher Minor",https://stats.ncaa.org/game/play_by_play/5213088,5213088
3,35-11,Morehouse,Stillman,Proper singles on a line drive to right fielder Woodward,https://stats.ncaa.org/game/play_by_play/5213088,5213088
