inning,score,batting,fielding,description,game_pbp_url,game_pbp_id
1,1-0,Virginia St.,Clark Atlanta,Hammond triples on a line drive to right fielder Manuel,https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,2-0,Virginia St.,Clark Atlanta,"Jefferson strikes out looking, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,4-0,Virginia St.,Clark Atlanta,"Tayman grounds out, second baseman Noel to first baseman Gaskin. Hammond scores",https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-0,Virginia St.,Clark Atlanta,"Jones strikes out looking, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-1,Clark Atlanta,Virginia St.,"Brown Jr. grounds out, second baseman Tayman to first baseman Banks",https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-1,Clark Atlanta,Virginia St.,"Lineup changed: Manuel activated, batting 2nd",https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-2,Clark Atlanta,Virginia St.,Manuel hits a fly ball and reaches on an error by right fielder Wilmoth,https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-2,Clark Atlanta,Virginia St.,"Lineup changed: Gaskin activated, batting 3rd",https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-3,Clark Atlanta,Virginia St.,Gaskin flies out to center fielder Jones,https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-3,Clark Atlanta,Virginia St.,"Lineup changed: Gay activated, batting 4th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
1,5-4,Clark Atlanta,Virginia St.,Gay pops out in foul territory to first baseman Banks,https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,5-4,Virginia St.,Clark Atlanta,"Lineup changed: Hock activated, batting 5th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,6-4,Virginia St.,Clark Atlanta,"Hock strikes out looking, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,6-4,Virginia St.,Clark Atlanta,"Lineup changed: Newman activated, batting 6th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,7-4,Virginia St.,Clark Atlanta,"Newman walks, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,7-4,Virginia St.,Clark Atlanta,"Lineup changed: Lovett activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,9-4,Virginia St.,Clark Atlanta,"Lovett walks, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,9-4,Virginia St.,Clark Atlanta,"Lineup changed: Wilmoth activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,10-4,Virginia St.,Clark Atlanta,"Wilmoth strikes out looking, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,10-4,Virginia St.,Clark Atlanta,"Lineup changed: Banks activated, batting 9th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,13-4,Virginia St.,Clark Atlanta,"Banks walks, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-4,Virginia St.,Clark Atlanta,"Hammond strikes out swinging, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-7,Virginia St.,Clark Atlanta,LOB: 3,https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-4,Clark Atlanta,Virginia St.,"Lineup changed: Page activated, batting 5th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-5,Clark Atlanta,Virginia St.,"Page grounds out, third baseman Lovett to first baseman Banks",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-5,Clark Atlanta,Virginia St.,"Lineup changed: Freeman activated, batting 6th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-6,Clark Atlanta,Virginia St.,"Freeman strikes out looking, Woolfolk pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-6,Clark Atlanta,Virginia St.,"Lineup changed: Noel activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
2,14-7,Clark Atlanta,Virginia St.,"Noel strikes out swinging, Woolfolk pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,15-7,Virginia St.,Clark Atlanta,"Jefferson strikes out looking, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,16-7,Virginia St.,Clark Atlanta,"Tayman strikes out swinging, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-7,Virginia St.,Clark Atlanta,"Jones strikes out swinging, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-7,Clark Atlanta,Virginia St.,"Lineup changed: Swift activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-8,Clark Atlanta,Virginia St.,"Swift walks, Woolfolk pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-8,Clark Atlanta,Virginia St.,"Lineup changed: Bing activated, batting 9th",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-10,Clark Atlanta,Virginia St.,Bing sacrifices and reaches on an error by third baseman Lovett,https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-13,Clark Atlanta,Virginia St.,"Brown Jr. grounds into fielder's choice, pitcher Woolfolk to third baseman Lovett",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-14,Clark Atlanta,Virginia St.,Manuel flies out to center fielder Jones,https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-17,Clark Atlanta,Virginia St.,Gaskin doubles on a line drive to center fielder Jones. Bing scores. Brown Jr. scores,https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-18,Clark Atlanta,Virginia St.,"Gay strikes out swinging, Woolfolk pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
3,17-18,Clark Atlanta,Virginia St.,R: 2 H: 1 E: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5250004,5250004
4,17-18,Virginia St.,Clark Atlanta,Lineup changed: Garner in at pitcher,https://stats.ncaa.org/game/play_by_play/5250004,5250004
4,18-18,Virginia St.,Clark Atlanta,"Hock walks, Garner pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
4,19-18,Virginia St.,Clark Atlanta,"Newman strikes out swinging, Garner pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
4,20-18,Virginia St.,Clark Atlanta,"Lovett strikes out looking, Garner pitching",https://stats.ncaa.org/game/play_by_play/5250004,5250004
4,22-18,Virginia St.,Clark Atlanta,Wilmoth doubles on a line drive to center fielder Brown Jr.,https://stats.ncaa.org/game/play_by_play/5250004,5250004
