date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_pbp_url,game_pbp_id
02/18/2022,"St. Petersburg, Fla.",NA,1,top,0-0,Flagler,Eckerd,M. Gray struck out swinging (0-2 KF).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,1,top,0-0,Flagler,Eckerd,Do. Garcia lined out to rf (0-0).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,1,top,0-0,Flagler,Eckerd,Colangelo flied out to cf (2-1 BFB).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,1,bot,0-0,Eckerd,Flagler,Nunez grounded out to 2b (0-2 KS).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,1,bot,0-0,Eckerd,Flagler,Cox grounded out to 2b (1-1 KB).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,1,bot,0-0,Eckerd,Flagler,Donofrio struck out swinging (2-2 BBKF).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,2,top,0-0,Flagler,Eckerd,Thomas singled up the middle (2-1 BBK).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,2,top,0-0,Flagler,Eckerd,Warde flied out to rf (2-2 KBSB).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,2,top,0-0,Flagler,Eckerd,Thomas advanced to second on a wild pitch.,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,2,top,0-0,Flagler,Eckerd,Phillips struck out looking (1-2 BKS).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
02/18/2022,"St. Petersburg, Fla.",NA,2,top,0-0,Flagler,Eckerd,Burke struck out looking (3-2 BBSBF).,https://stats.ncaa.org/game/play_by_play/5207758,5207758
