inning,score,batting,fielding,description,game_pbp_url,game_pbp_id
1,1-0,Tougaloo,Clark Atlanta,Torrey singles on a hard ground ball to left fielder Manuel,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,2-0,Tougaloo,Clark Atlanta,Torrey advances to 2nd,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,3-0,Tougaloo,Clark Atlanta,"Jones strikes out swinging, Brinson pitching",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,4-0,Tougaloo,Clark Atlanta,"Hickman walks, Brinson pitching",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,5-0,Tougaloo,Clark Atlanta,Torrey advances to 3rd on wild pitch,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,6-0,Tougaloo,Clark Atlanta,Hickman advances to 2nd on the same pitch,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,9-0,Tougaloo,Clark Atlanta,Daniels grounds into fielder's choice to third baseman Bing,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,13-0,Tougaloo,Clark Atlanta,"Patton grounds into fielder's choice, third baseman Bing to second baseman Mason. Torrey scores",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-0,Tougaloo,Clark Atlanta,Ross grounds out to shortstop Page,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-1,Clark Atlanta,Tougaloo,Mason singles on a hard ground ball to second baseman,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-1,Clark Atlanta,Tougaloo,Lineup changed: Jones in at second baseman,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-1,Clark Atlanta,Tougaloo,Lineup changed: Hickman in at first baseman,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-2,Clark Atlanta,Tougaloo,Mason advances to 2nd on error by pitcher Sprull,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-2,Clark Atlanta,Tougaloo,"Lineup changed: Burrell activated, batting 2nd",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-3,Clark Atlanta,Tougaloo,"Burrell is hit by pitch, Sprull pitching",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-3,Clark Atlanta,Tougaloo,Lineup changed: Ross in at third baseman,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-3,Clark Atlanta,Tougaloo,Lineup changed: Torrey in at center fielder,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-3,Clark Atlanta,Tougaloo,"Lineup changed: Brown Jr. activated, batting 3rd",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-4,Clark Atlanta,Tougaloo,"Brown Jr. flies out, right fielder to third baseman Ross",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-5,Clark Atlanta,Tougaloo,Mason advances to 3rd on error by right fielder,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-6,Clark Atlanta,Tougaloo,Mason scores on the same error,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-7,Clark Atlanta,Tougaloo,Burrell advances to 3rd on the same error,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-7,Clark Atlanta,Tougaloo,"Lineup changed: Gay activated, batting 4th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-9,Clark Atlanta,Tougaloo,Gay out on sacrifice fly to left fielder. Burrell scores,https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-9,Clark Atlanta,Tougaloo,"Lineup changed: Freeman activated, batting 5th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-10,Clark Atlanta,Tougaloo,"Freeman walks, Sprull pitching",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-10,Clark Atlanta,Tougaloo,"Lineup changed: Page activated, batting 6th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
1,14-11,Clark Atlanta,Tougaloo,Page grounds out to pitcher Sprull,https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,14-11,Tougaloo,Clark Atlanta,"Lineup changed: Williams activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,15-11,Tougaloo,Clark Atlanta,Williams flies out to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,15-11,Tougaloo,Clark Atlanta,"Lineup changed: Hudson activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,16-11,Tougaloo,Clark Atlanta,"Hudson is hit by pitch, Brinson pitching",https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,16-11,Tougaloo,Clark Atlanta,"Lineup changed: Borders activated, batting 9th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,17-11,Tougaloo,Clark Atlanta,"Hudson caught stealing 2nd, pitcher Brinson to first baseman Fegins to shortstop Page",https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,18-11,Tougaloo,Clark Atlanta,Borders singles on a line drive to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,19-11,Tougaloo,Clark Atlanta,Torrey pops out to first baseman Fegins,https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,19-17,Tougaloo,Clark Atlanta,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,19-11,Clark Atlanta,Tougaloo,"Lineup changed: Manuel activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
2,19-11,Clark Atlanta,Tougaloo,"Lineup changed: Bing activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5251315,5251315
