inning,score,batting,fielding,description,game_pbp_url,game_pbp_id
1,1-0,Miles,Clark Atlanta,"Bisharat strikes out swinging, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,2-0,Miles,Clark Atlanta,"Long walks, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,3-0,Miles,Clark Atlanta,Bitner flies out to center fielder Burrell,https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,5-0,Miles,Clark Atlanta,"Archie II walks, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,6-0,Miles,Clark Atlanta,"Pearson grounds out, pitcher Peterson to first baseman Freeman",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,6-3,Miles,Clark Atlanta,LOB: 2,https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,6-1,Clark Atlanta,Miles,"Mason strikes out looking, Douglas pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,6-1,Clark Atlanta,Miles,"Lineup changed: Brown Jr. activated, batting 2nd",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,6-2,Clark Atlanta,Miles,"Brown Jr. strikes out looking, Douglas pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,6-2,Clark Atlanta,Miles,"Lineup changed: Burrell activated, batting 3rd",https://stats.ncaa.org/game/play_by_play/5213923,5213923
1,6-3,Clark Atlanta,Miles,"Burrell strikes out looking, Douglas pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,6-3,Miles,Clark Atlanta,"Lineup changed: Baker activated, batting 6th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,7-3,Miles,Clark Atlanta,"Baker grounds out, shortstop Page to first baseman Freeman",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,7-3,Miles,Clark Atlanta,"Lineup changed: Wright activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,8-3,Miles,Clark Atlanta,Wright pops out to second baseman Mason,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,8-3,Miles,Clark Atlanta,"Lineup changed: Davenport activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,9-3,Miles,Clark Atlanta,Davenport singles on a hard ground ball to right fielder Swift,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,9-3,Miles,Clark Atlanta,"Lineup changed: Snelson activated, batting 9th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,10-3,Miles,Clark Atlanta,Davenport steals 2nd,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,11-3,Miles,Clark Atlanta,Davenport steals 3rd,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-3,Miles,Clark Atlanta,"Snelson grounds out, pitcher Peterson to first baseman Freeman",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-12,Miles,Clark Atlanta,H: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-3,Clark Atlanta,Miles,"Lineup changed: Freeman activated, batting 4th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-4,Clark Atlanta,Miles,"Freeman grounds out, third baseman Bitner to first baseman Bisharat",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-4,Clark Atlanta,Miles,"Lineup changed: Page activated, batting 5th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-5,Clark Atlanta,Miles,Page singles on a hard ground ball to left fielder Snelson,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-5,Clark Atlanta,Miles,"Lineup changed: Swift activated, batting 6th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-6,Clark Atlanta,Miles,Swift flies out to left fielder Snelson,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-6,Clark Atlanta,Miles,"Lineup changed: Bing activated, batting 7th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-8,Clark Atlanta,Miles,Bing singles on a ground ball to third baseman Bitner,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-9,Clark Atlanta,Miles,Page advances to 3rd on error by third baseman Bitner,https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-9,Clark Atlanta,Miles,"Lineup changed: Manuel activated, batting 8th",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-12,Clark Atlanta,Miles,"Manuel singles on a ground ball, third baseman Bitner to first baseman Bisharat to third baseman Bitner. Page scores",https://stats.ncaa.org/game/play_by_play/5213923,5213923
2,12-12,Miles,Clark Atlanta,R: 1 H: 3 E: 1 LOB: 1,https://stats.ncaa.org/game/play_by_play/5213923,5213923
3,13-12,Miles,Clark Atlanta,"Bisharat strikes out looking, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
3,14-12,Miles,Clark Atlanta,"Long strikes out swinging, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
3,15-12,Miles,Clark Atlanta,"Bitner strikes out looking, Peterson pitching",https://stats.ncaa.org/game/play_by_play/5213923,5213923
