year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,game_pbp_url,contest_id,game_pbp_id
2016,12360,02/19/2016,Little Rock,32,2,Sun Belt,818,/team/32/12360,1,Indiana St.,305,7,MVC,884,/team/305/12360,1,NA,NA,/contests/292464/box_score,https://stats.ncaa.org/contests/292464/box_score,https://stats.ncaa.org/game/play_by_play/4019868,292464,4019868
2016,12360,02/20/2016,Little Rock,32,4,Sun Belt,818,/team/32/12360,1,Kansas,328,2,Big 12,25354,/team/328/12360,1,NA,NA,/contests/292708/box_score,https://stats.ncaa.org/contests/292708/box_score,https://stats.ncaa.org/game/play_by_play/4021603,292708,4021603
2016,12360,02/21/2016,Little Rock,32,6,Sun Belt,818,/team/32/12360,1,Indiana St.,305,5,MVC,884,/team/305/12360,1,NA,NA,/contests/293166/box_score,https://stats.ncaa.org/contests/293166/box_score,https://stats.ncaa.org/game/play_by_play/4022926,293166,4022926
2016,12360,02/26/2016,Little Rock,32,2,Sun Belt,818,/team/32/12360,1,Purdue Fort Wayne,308,4,Summit League,819,/team/308/12360,1,NA,NA,/contests/293561/box_score,https://stats.ncaa.org/contests/293561/box_score,https://stats.ncaa.org/game/play_by_play/4029737,293561,4029737
2016,12360,02/27/2016,Little Rock,32,7,Sun Belt,818,/team/32/12360,1,Purdue Fort Wayne,308,9,Summit League,819,/team/308/12360,1,NA,NA,/contests/293921/box_score,https://stats.ncaa.org/contests/293921/box_score,https://stats.ncaa.org/game/play_by_play/4031306,293921,4031306
2016,12360,02/27/2016,Little Rock,32,8,Sun Belt,818,/team/32/12360,1,Purdue Fort Wayne,308,6,Summit League,819,/team/308/12360,1,NA,NA,/contests/294021/box_score,https://stats.ncaa.org/contests/294021/box_score,https://stats.ncaa.org/game/play_by_play/4031676,294021,4031676
2016,12360,02/28/2016,Little Rock,32,6,Sun Belt,818,/team/32/12360,1,Purdue Fort Wayne,308,9,Summit League,819,/team/308/12360,1,NA,NA,/contests/294334/box_score,https://stats.ncaa.org/contests/294334/box_score,https://stats.ncaa.org/game/play_by_play/4032506,294334,4032506
2016,12360,03/02/2016,Little Rock,32,20,Sun Belt,818,/team/32/12360,1,Mississippi Val.,432,3,SWAC,916,/team/432/12360,1,NA,NA,/contests/294842/box_score,https://stats.ncaa.org/contests/294842/box_score,https://stats.ncaa.org/game/play_by_play/4038826,294842,4038826
2016,12360,03/04/2016,Oral Roberts,527,14,Summit League,819,/team/527/12360,1,Little Rock,32,5,Sun Belt,818,/team/32/12360,1,NA,NA,/contests/295076/box_score,https://stats.ncaa.org/contests/295076/box_score,https://stats.ncaa.org/game/play_by_play/4059015,295076,4059015
2016,12360,03/05/2016,Oral Roberts,527,8,Summit League,819,/team/527/12360,1,Little Rock,32,9,Sun Belt,818,/team/32/12360,1,NA,NA,/contests/295531/box_score,https://stats.ncaa.org/contests/295531/box_score,https://stats.ncaa.org/game/play_by_play/4044080,295531,4044080
2016,12360,03/05/2016,Oral Roberts,527,3,Summit League,819,/team/527/12360,1,Little Rock,32,2,Sun Belt,818,/team/32/12360,1,NA,NA,/contests/295719/box_score,https://stats.ncaa.org/contests/295719/box_score,https://stats.ncaa.org/game/play_by_play/4044071,295719,4044071
2016,12360,03/06/2016,Oral Roberts,527,4,Summit League,819,/team/527/12360,1,Little Rock,32,3,Sun Belt,818,/team/32/12360,1,NA,NA,/contests/295871/box_score,https://stats.ncaa.org/contests/295871/box_score,https://stats.ncaa.org/game/play_by_play/4045598,295871,4045598
2016,12360,03/12/2016,Little Rock,32,3,Sun Belt,818,/team/32/12360,1,South Alabama,646,13,Sun Belt,818,/team/646/12360,1,NA,NA,/contests/297214/box_score,https://stats.ncaa.org/contests/297214/box_score,https://stats.ncaa.org/game/play_by_play/4057159,297214,4057159
2016,12360,03/13/2016,Little Rock,32,6,Sun Belt,818,/team/32/12360,1,South Alabama,646,10,Sun Belt,818,/team/646/12360,1,NA,NA,/contests/297873/box_score,https://stats.ncaa.org/contests/297873/box_score,https://stats.ncaa.org/game/play_by_play/4058195,297873,4058195
2016,12360,03/13/2016,Little Rock,32,5,Sun Belt,818,/team/32/12360,1,South Alabama,646,7,Sun Belt,818,/team/646/12360,1,NA,NA,/contests/297970/box_score,https://stats.ncaa.org/contests/297970/box_score,https://stats.ncaa.org/game/play_by_play/4058199,297970,4058199
2016,12360,03/16/2016,Little Rock,32,6,Sun Belt,818,/team/32/12360,1,Central Ark.,1004,5,Southland,914,/team/1004/12360,1,NA,NA,/contests/298386/box_score,https://stats.ncaa.org/contests/298386/box_score,https://stats.ncaa.org/game/play_by_play/4063795,298386,4063795
2016,12360,03/19/2016,Louisiana,671,15,Sun Belt,818,/team/671/12360,1,Little Rock,32,4,Sun Belt,818,/team/32/12360,1,NA,NA,/contests/299468/box_score,https://stats.ncaa.org/contests/299468/box_score,https://stats.ncaa.org/game/play_by_play/4079058,299468,4079058
2016,12360,03/19/2016,Louisiana,671,5,Sun Belt,818,/team/671/12360,1,Little Rock,32,10,Sun Belt,818,/team/32/12360,1,NA,NA,/contests/299501/box_score,https://stats.ncaa.org/contests/299501/box_score,https://stats.ncaa.org/game/play_by_play/4068822,299501,4068822
2016,12360,03/20/2016,Louisiana,671,1,Sun Belt,818,/team/671/12360,1,Little Rock,32,7,Sun Belt,818,/team/32/12360,1,NA,NA,/contests/299685/box_score,https://stats.ncaa.org/contests/299685/box_score,https://stats.ncaa.org/game/play_by_play/4069726,299685,4069726
2016,12360,03/22/2016,Little Rock,32,7,Sun Belt,818,/team/32/12360,1,Ark.-Pine Bluff,2678,2,SWAC,916,/team/2678/12360,1,NA,NA,/contests/300007/box_score,https://stats.ncaa.org/contests/300007/box_score,https://stats.ncaa.org/game/play_by_play/4074031,300007,4074031
2016,12360,03/24/2016,Little Rock,32,11,Sun Belt,818,/team/32/12360,1,Troy,716,8,Sun Belt,818,/team/716/12360,1,NA,NA,/contests/300420/box_score,https://stats.ncaa.org/contests/300420/box_score,https://stats.ncaa.org/game/play_by_play/4077075,300420,4077075
2016,12360,03/25/2016,Little Rock,32,4,Sun Belt,818,/team/32/12360,1,Troy,716,3,Sun Belt,818,/team/716/12360,1,NA,NA,/contests/300642/box_score,https://stats.ncaa.org/contests/300642/box_score,https://stats.ncaa.org/game/play_by_play/4079032,300642,4079032
