year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,contest_id
2023,16340,02/17/2023,Mississippi Val. ,432,7,SWAC,916,/team/432/16340,1,Texas Southern,699,5,SWAC,916,/team/699/16340,1,"Houston, TX",,/contests/2390316/box_score,https://stats.ncaa.org/contests/2390316/box_score,2390316
2023,16340,02/18/2023,Prairie View ,553,4,SWAC,916,/team/553/16340,1,Texas Southern,699,8,SWAC,916,/team/699/16340,1,"Houston, TX",,/contests/2390587/box_score,https://stats.ncaa.org/contests/2390587/box_score,2390587
2023,16340,02/19/2023,Southern U. ,665,11,SWAC,916,/team/665/16340,1,Texas Southern,699,1,SWAC,916,/team/699/16340,1,"Houston, TX",,/contests/2391064/box_score,https://stats.ncaa.org/contests/2391064/box_score,2391064
2023,16340,02/21/2023,Texas Southern,699,13,SWAC,916,/team/699/16340,1,Wiley,,1,,,,,,,/contests/2391118/box_score,https://stats.ncaa.org/contests/2391118/box_score,2391118
2023,16340,02/21/2023,Texas Southern,699,10,SWAC,916,/team/699/16340,1,Wiley,,0,,,,,,,/contests/2421016/box_score,https://stats.ncaa.org/contests/2421016/box_score,2421016
2023,16340,02/24/2023,Texas Southern,699,2,SWAC,916,/team/699/16340,1,Randall,,1,,,,,,,/contests/2421896/box_score,https://stats.ncaa.org/contests/2421896/box_score,2421896
2023,16340,02/24/2023,Arlington Baptist,,2,,,,,Texas Southern,699,13,SWAC,916,/team/699/16340,1,,,/contests/2408451/box_score,https://stats.ncaa.org/contests/2408451/box_score,2408451
2023,16340,02/25/2023,Randall,,1,,,,,Texas Southern,699,8,SWAC,916,/team/699/16340,1,,,/contests/2421898/box_score,https://stats.ncaa.org/contests/2421898/box_score,2421898
2023,16340,02/25/2023,Arlington Baptist,,2,,,,,Texas Southern,699,9,SWAC,916,/team/699/16340,1,,,/contests/2408130/box_score,https://stats.ncaa.org/contests/2408130/box_score,2408130
2023,16340,02/28/2023,Houston,288,8,AAC,823,/team/288/16340,1,Texas Southern,699,5,SWAC,916,/team/699/16340,1,,,/contests/2392349/box_score,https://stats.ncaa.org/contests/2392349/box_score,2392349
2023,16340,03/04/2023,Missouri,434,8,SEC,911,/team/434/16340,1,Texas Southern,699,0,SWAC,916,/team/699/16340,1,,,/contests/2393008/box_score,https://stats.ncaa.org/contests/2393008/box_score,2393008
