year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,contest_id
2023,16340,02/18/2023,East Carolina,196,9,AAC,823,/team/196/16340,1,George Washington,249,5,Atlantic 10,820,/team/249/16340,1,,,/contests/2390411/box_score,https://stats.ncaa.org/contests/2390411/box_score,2390411
2023,16340,02/18/2023,East Carolina,196,11,AAC,823,/team/196/16340,1,George Washington,249,3,Atlantic 10,820,/team/249/16340,1,,,/contests/2390731/box_score,https://stats.ncaa.org/contests/2390731/box_score,2390731
2023,16340,02/19/2023,East Carolina,196,23,AAC,823,/team/196/16340,1,George Washington,249,5,Atlantic 10,820,/team/249/16340,1,,,/contests/2390984/box_score,https://stats.ncaa.org/contests/2390984/box_score,2390984
2023,16340,02/22/2023,George Washington,249,11,Atlantic 10,820,/team/249/16340,1,UMES,393,9,NEC,846,/team/393/16340,1,,,/contests/2391211/box_score,https://stats.ncaa.org/contests/2391211/box_score,2391211
2023,16340,02/24/2023,George Washington,249,9,Atlantic 10,820,/team/249/16340,1,Fairfield,220,11,MAAC,871,/team/220/16340,1,,,/contests/2391435/box_score,https://stats.ncaa.org/contests/2391435/box_score,2391435
2023,16340,02/26/2023,George Washington,249,4,Atlantic 10,820,/team/249/16340,1,Fairfield,220,2,MAAC,871,/team/220/16340,1,,,/contests/2391837/box_score,https://stats.ncaa.org/contests/2391837/box_score,2391837
2023,16340,02/26/2023,George Washington,249,2,Atlantic 10,820,/team/249/16340,1,Fairfield,220,15,MAAC,871,/team/220/16340,1,,,/contests/2392158/box_score,https://stats.ncaa.org/contests/2392158/box_score,2392158
2023,16340,02/28/2023,James Madison,317,10,Sun Belt,818,/team/317/16340,1,George Washington,249,8,Atlantic 10,820,/team/249/16340,1,,,/contests/2392402/box_score,https://stats.ncaa.org/contests/2392402/box_score,2392402
2023,16340,03/03/2023,McNeese,402,2,Southland,914,/team/402/16340,1,George Washington,249,0,Atlantic 10,820,/team/249/16340,1,,,/contests/2392674/box_score,https://stats.ncaa.org/contests/2392674/box_score,2392674
2023,16340,03/04/2023,McNeese,402,7,Southland,914,/team/402/16340,1,George Washington,249,0,Atlantic 10,820,/team/249/16340,1,,,/contests/2392951/box_score,https://stats.ncaa.org/contests/2392951/box_score,2392951
2023,16340,03/05/2023,McNeese,402,7,Southland,914,/team/402/16340,1,George Washington,249,6,Atlantic 10,820,/team/249/16340,1,,,/contests/2393390/box_score,https://stats.ncaa.org/contests/2393390/box_score,2393390
2023,16340,03/07/2023,Delaware,180,7,CAA,837,/team/180/16340,1,George Washington,249,10,Atlantic 10,820,/team/249/16340,1,,,/contests/2393778/box_score,https://stats.ncaa.org/contests/2393778/box_score,2393778
2023,16340,03/08/2023,George Washington,249,11,Atlantic 10,820,/team/249/16340,1,Towson,711,21,CAA,837,/team/711/16340,1,,,/contests/2393984/box_score,https://stats.ncaa.org/contests/2393984/box_score,2393984
2023,16340,03/10/2023,George Washington,249,4,Atlantic 10,820,/team/249/16340,1,Binghamton,62,7,America East,845,/team/62/16340,1,,,/contests/2394224/box_score,https://stats.ncaa.org/contests/2394224/box_score,2394224
2023,16340,03/11/2023,George Washington,249,4,Atlantic 10,820,/team/249/16340,1,Binghamton,62,3,America East,845,/team/62/16340,1,,,/contests/2394536/box_score,https://stats.ncaa.org/contests/2394536/box_score,2394536
2023,16340,03/12/2023,George Washington,249,8,Atlantic 10,820,/team/249/16340,1,Binghamton,62,17,America East,845,/team/62/16340,1,,,/contests/2394946/box_score,https://stats.ncaa.org/contests/2394946/box_score,2394946
2023,16340,03/14/2023,Virginia,746,20,ACC,821,/team/746/16340,1,George Washington,249,5,Atlantic 10,820,/team/249/16340,1,,,/contests/2395479/box_score,https://stats.ncaa.org/contests/2395479/box_score,2395479
2023,16340,03/15/2023,George Washington,249,8,Atlantic 10,820,/team/249/16340,1,Maine,380,15,America East,845,/team/380/16340,1,,,/contests/2395672/box_score,https://stats.ncaa.org/contests/2395672/box_score,2395672
2023,16340,03/17/2023,George Washington,249,9,Atlantic 10,820,/team/249/16340,1,Niagara,482,8,MAAC,871,/team/482/16340,1,,10,/contests/2395966/box_score,https://stats.ncaa.org/contests/2395966/box_score,2395966
2023,16340,03/18/2023,George Washington,249,4,Atlantic 10,820,/team/249/16340,1,Niagara,482,12,MAAC,871,/team/482/16340,1,,10,/contests/2396371/box_score,https://stats.ncaa.org/contests/2396371/box_score,2396371
2023,16340,03/19/2023,George Washington,249,2,Atlantic 10,820,/team/249/16340,1,Niagara,482,4,MAAC,871,/team/482/16340,1,,,/contests/2396672/box_score,https://stats.ncaa.org/contests/2396672/box_score,2396672
2023,16340,03/21/2023,Maryland,392,9,Big Ten,827,/team/392/16340,1,George Washington,249,6,Atlantic 10,820,/team/249/16340,1,,,/contests/2397008/box_score,https://stats.ncaa.org/contests/2397008/box_score,2397008
2023,16340,03/25/2023,George Washington,249,2,Atlantic 10,820,/team/249/16340,1,Manhattan,381,1,MAAC,871,/team/381/16340,1,,,/contests/2397613/box_score,https://stats.ncaa.org/contests/2397613/box_score,2397613
2023,16340,03/26/2023,George Washington,249,16,Atlantic 10,820,/team/249/16340,1,Manhattan,381,6,MAAC,871,/team/381/16340,1,,,/contests/2397318/box_score,https://stats.ncaa.org/contests/2397318/box_score,2397318
