year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,game_pbp_url,contest_id,game_pbp_id
2015,12080,03/07/2015,Kean,329,6,NJAC,891,/team/329/12080,3,FDU-Florham,221,0,MAC Freedom,28745,/team/221/12080,3,NA,NA,/contests/407826/box_score,https://stats.ncaa.org/contests/407826/box_score,https://stats.ncaa.org/game/play_by_play/3811070,407826,3811070
2015,12080,03/10/2015,Centenary (NJ),12884,9,CSAC,21062,/team/12884/12080,3,FDU-Florham,221,7,MAC Freedom,28745,/team/221/12080,3,NA,NA,/contests/408848/box_score,https://stats.ncaa.org/contests/408848/box_score,https://stats.ncaa.org/game/play_by_play/3820201,408848,3820201
2015,12080,03/14/2015,FDU-Florham,221,3,MAC Freedom,28745,/team/221/12080,3,St. Norbert ,614,4,MWC,23119,/team/614/12080,3,"Auburndale, Fla.",NA,/contests/410052/box_score,https://stats.ncaa.org/contests/410052/box_score,https://stats.ncaa.org/game/play_by_play/3818259,410052,3818259
2015,12080,03/14/2015,FDU-Florham,221,0,MAC Freedom,28745,/team/221/12080,3,St. Norbert ,614,9,MWC,23119,/team/614/12080,3,"Auburndale, Fla.",NA,/contests/410079/box_score,https://stats.ncaa.org/contests/410079/box_score,https://stats.ncaa.org/game/play_by_play/3818941,410079,3818941
2015,12080,03/16/2015,Allegheny ,19,13,NCAC,897,/team/19/12080,3,FDU-Florham,221,5,MAC Freedom,28745,/team/221/12080,3,"Auburndale, Fla.",NA,/contests/410656/box_score,https://stats.ncaa.org/contests/410656/box_score,https://stats.ncaa.org/game/play_by_play/3821104,410656,3821104
2015,12080,03/18/2015,FDU-Florham,221,0,MAC Freedom,28745,/team/221/12080,3,Wis.-La Crosse ,795,6,WIAC,1473,/team/795/12080,3,"Winter Haven, Fla.",NA,/contests/411189/box_score,https://stats.ncaa.org/contests/411189/box_score,https://stats.ncaa.org/game/play_by_play/3841481,411189,3841481
2015,12080,03/18/2015,FDU-Florham,221,6,MAC Freedom,28745,/team/221/12080,3,Wis.-La Crosse ,795,14,WIAC,1473,/team/795/12080,3,"Winter Haven, Fla.",NA,/contests/411198/box_score,https://stats.ncaa.org/contests/411198/box_score,https://stats.ncaa.org/game/play_by_play/3841506,411198,3841506
2015,12080,03/19/2015,FDU-Florham,221,6,MAC Freedom,28745,/team/221/12080,3,Wash. & Jeff. ,751,15,PAC,907,/team/751/12080,3,"Winter Haven, Fla.",NA,/contests/411280/box_score,https://stats.ncaa.org/contests/411280/box_score,https://stats.ncaa.org/game/play_by_play/3821716,411280,3821716
2015,12080,03/25/2015,Purchase,30029,13,Skyline,13054,/team/30029/12080,3,FDU-Florham,221,9,MAC Freedom,28745,/team/221/12080,3,NA,NA,/contests/412868/box_score,https://stats.ncaa.org/contests/412868/box_score,https://stats.ncaa.org/game/play_by_play/3828240,412868,3828240
2015,12080,03/27/2015,Misericordia,16142,5,MAC Freedom,28745,/team/16142/12080,3,FDU-Florham,221,1,MAC Freedom,28745,/team/221/12080,3,NA,NA,/contests/413148/box_score,https://stats.ncaa.org/contests/413148/box_score,https://stats.ncaa.org/game/play_by_play/3830839,413148,3830839
2015,12080,04/01/2015,FDU-Florham,221,5,MAC Freedom,28745,/team/221/12080,3,Eastern,8968,6,MAC Freedom,28745,/team/8968/12080,3,NA,NA,/contests/414833/box_score,https://stats.ncaa.org/contests/414833/box_score,https://stats.ncaa.org/game/play_by_play/3836163,414833,3836163
2015,12080,04/03/2015,FDU-Florham,221,2,MAC Freedom,28745,/team/221/12080,3,Manhattanville,382,1,MAC Freedom,28745,/team/382/12080,3,NA,NA,/contests/415268/box_score,https://stats.ncaa.org/contests/415268/box_score,https://stats.ncaa.org/game/play_by_play/3837673,415268,3837673
2015,12080,04/04/2015,Manhattanville,382,8,MAC Freedom,28745,/team/382/12080,3,FDU-Florham,221,4,MAC Freedom,28745,/team/221/12080,3,NA,NA,/contests/415793/box_score,https://stats.ncaa.org/contests/415793/box_score,https://stats.ncaa.org/game/play_by_play/3840536,415793,3840536
2015,12080,04/04/2015,Manhattanville,382,6,MAC Freedom,28745,/team/382/12080,3,FDU-Florham,221,3,MAC Freedom,28745,/team/221/12080,3,NA,NA,/contests/416006/box_score,https://stats.ncaa.org/contests/416006/box_score,https://stats.ncaa.org/game/play_by_play/3840523,416006,3840523
