year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,game_pbp_url,contest_id,game_pbp_id
2015,12080,02/07/2015,Okla. Panhandle,24342,4,Heartland,28723,/team/24342/12080,2,Colo. Sch. of Mines,155,9,RMAC,13128,/team/155/12080,2,NA,NA,/contests/404508/box_score,https://stats.ncaa.org/contests/404508/box_score,https://stats.ncaa.org/game/play_by_play/3784066,404508,3784066
2015,12080,02/07/2015,Colo. Sch. of Mines,155,4,RMAC,13128,/team/155/12080,2,Newman ,30054,3,Heartland,28723,/team/30054/12080,2,"Goodwell, Okla.",NA,/contests/404584/box_score,https://stats.ncaa.org/contests/404584/box_score,https://stats.ncaa.org/game/play_by_play/3766748,404584,3766748
2015,12080,02/08/2015,Okla. Panhandle,24342,1,Heartland,28723,/team/24342/12080,2,Colo. Sch. of Mines,155,16,RMAC,13128,/team/155/12080,2,NA,NA,/contests/404630/box_score,https://stats.ncaa.org/contests/404630/box_score,https://stats.ncaa.org/game/play_by_play/3784164,404630,3784164
2015,12080,02/13/2015,Fort Hays St.,9011,3,Mid-America Intercollegiate,883,/team/9011/12080,2,Colo. Sch. of Mines,155,5,RMAC,13128,/team/155/12080,2,NA,NA,/contests/404744/box_score,https://stats.ncaa.org/contests/404744/box_score,https://stats.ncaa.org/game/play_by_play/3788523,404744,3788523
2015,12080,02/14/2015,Central Okla. ,1009,6,Mid-America Intercollegiate,883,/team/1009/12080,2,Colo. Sch. of Mines,155,4,RMAC,13128,/team/155/12080,2,"Hays, Kan.",12,/contests/405389/box_score,https://stats.ncaa.org/contests/405389/box_score,https://stats.ncaa.org/game/play_by_play/3788730,405389,3788730
2015,12080,03/08/2015,Colo. Sch. of Mines,155,4,RMAC,13128,/team/155/12080,2,Colo. Christian,11403,2,RMAC,13128,/team/11403/12080,2,NA,NA,/contests/408440/box_score,https://stats.ncaa.org/contests/408440/box_score,https://stats.ncaa.org/game/play_by_play/3810002,408440,3810002
2015,12080,03/08/2015,Colo. Sch. of Mines,155,2,RMAC,13128,/team/155/12080,2,Colo. Christian,11403,8,RMAC,13128,/team/11403/12080,2,NA,NA,/contests/408485/box_score,https://stats.ncaa.org/contests/408485/box_score,https://stats.ncaa.org/game/play_by_play/3810004,408485,3810004
2015,12080,03/09/2015,Colo. Sch. of Mines,155,12,RMAC,13128,/team/155/12080,2,Colo. Christian,11403,13,RMAC,13128,/team/11403/12080,2,NA,NA,/contests/408705/box_score,https://stats.ncaa.org/contests/408705/box_score,https://stats.ncaa.org/game/play_by_play/3814114,408705,3814114
2015,12080,03/09/2015,Colo. Sch. of Mines,155,3,RMAC,13128,/team/155/12080,2,Colo. Christian,11403,2,RMAC,13128,/team/11403/12080,2,NA,NA,/contests/408713/box_score,https://stats.ncaa.org/contests/408713/box_score,https://stats.ncaa.org/game/play_by_play/3814113,408713,3814113
2015,12080,03/10/2015,Fort Hays St.,9011,12,Mid-America Intercollegiate,883,/team/9011/12080,2,Colo. Sch. of Mines,155,16,RMAC,13128,/team/155/12080,2,NA,NA,/contests/408927/box_score,https://stats.ncaa.org/contests/408927/box_score,https://stats.ncaa.org/game/play_by_play/3811915,408927,3811915
2015,12080,03/11/2015,Colo. Sch. of Mines,155,8,RMAC,13128,/team/155/12080,2,Emporia St. ,1071,12,Mid-America Intercollegiate,883,/team/1071/12080,2,"Hays, Kan.",NA,/contests/409197/box_score,https://stats.ncaa.org/contests/409197/box_score,https://stats.ncaa.org/game/play_by_play/3813001,409197,3813001
