Date,Opponent,Result,opponent_slug,slug,game_info_url
02/28/2014,"Frostburg St. @ Fayetteville, N.C.",L 5 - 7,/team/243/11620,/contests/589173/box_score,https://stats.ncaa.org/contests/589173/box_score
03/01/2014,"William Peace @ Fayetteville, NC",W 8 - 7,/team/17094/11620,/contests/589553/box_score,https://stats.ncaa.org/contests/589553/box_score
03/02/2014,"Allegheny @ Fayetteville, N.C.",L 5 - 9,/team/19/11620,/contests/589836/box_score,https://stats.ncaa.org/contests/589836/box_score
03/08/2014,"Rensselaer @ Lake Myrtle, Fl",L 2 - 17,/team/570/11620,/contests/590907/box_score,https://stats.ncaa.org/contests/590907/box_score
03/08/2014,Rensselaer @ Lake Myrtle,L 3 - 4,/team/570/11620,/game/index/3227503?org_id=570,https://stats.ncaa.org/game/index/3227503?org_id=570
03/09/2014,New Jersey City @ Chain of Lakes,W 2 - 0,/team/319/11620,/contests/591313/box_score,https://stats.ncaa.org/contests/591313/box_score
03/11/2014,Seton Hill @ Bradenton,L 2 - 8,/team/30063/11620,/contests/591830/box_score,https://stats.ncaa.org/contests/591830/box_score
03/12/2014,Cairn @ Auburndale Florida,W 7 - 2,/team/1305/11620,/contests/592003/box_score,https://stats.ncaa.org/contests/592003/box_score
03/13/2014,Curry @ Winter Haven,W 3 - 1,/team/170/11620,/contests/592131/box_score,https://stats.ncaa.org/contests/592131/box_score
03/18/2014,@ Waynesburg,W 5 - 3,/team/1434/11620,/contests/593635/box_score,https://stats.ncaa.org/contests/593635/box_score
03/18/2014,@ Waynesburg,L 5 - 6,/team/1434/11620,/contests/593652/box_score,https://stats.ncaa.org/contests/593652/box_score
03/23/2014,@ Penn St.-Fayette,W 12 - 0,NA,/contests/595167/box_score,https://stats.ncaa.org/contests/595167/box_score
03/27/2014,@ La Roche,L 0 - 10,/team/1163/11620,/contests/595793/box_score,https://stats.ncaa.org/contests/595793/box_score
03/27/2014,@ La Roche,W 4 - 0,/team/1163/11620,/contests/595815/box_score,https://stats.ncaa.org/contests/595815/box_score
04/01/2014,CWRU,L 3 - 10,/team/122/11620,/contests/597129/box_score,https://stats.ncaa.org/contests/597129/box_score
04/06/2014,Hilbert,W 4 - 1,/team/8398/11620,/contests/598723/box_score,https://stats.ncaa.org/contests/598723/box_score
04/06/2014,Hilbert,W 8 - 0,/team/8398/11620,/game/index/3302709?org_id=11839,https://stats.ncaa.org/game/index/3302709?org_id=11839
04/09/2014,Allegheny,W 6 - 0,/team/19/11620,/contests/599515/box_score,https://stats.ncaa.org/contests/599515/box_score
04/10/2014,Point Park,L 9 - 20,NA,/contests/599715/box_score,https://stats.ncaa.org/contests/599715/box_score
04/12/2014,Pitt.-Bradford,W 7 - 6,/team/1315/11620,/contests/600237/box_score,https://stats.ncaa.org/contests/600237/box_score
04/12/2014,Pitt.-Bradford,L 6 - 9,/team/1315/11620,/game/index/3376265?org_id=11839,https://stats.ncaa.org/game/index/3376265?org_id=11839
04/13/2014,@ Medaille,W 8 - 2,/team/23725/11620,/game/index/3378604?org_id=23725,https://stats.ncaa.org/game/index/3378604?org_id=23725
04/13/2014,@ Medaille,L 0 - 3,/team/23725/11620,/contests/601071/box_score,https://stats.ncaa.org/contests/601071/box_score
04/17/2014,Mount Aloysius,L 6 - 9,/team/30036/11620,/game/index/3325232?org_id=11839,https://stats.ncaa.org/game/index/3325232?org_id=11839
04/17/2014,Mount Aloysius,W 2 - 1,/team/30036/11620,/contests/601785/box_score,https://stats.ncaa.org/contests/601785/box_score
04/19/2014,@ D'Youville,W 20 - 5,/team/1059/11620,/contests/602750/box_score,https://stats.ncaa.org/contests/602750/box_score
04/19/2014,@ D'Youville,W 23 - 10,/team/1059/11620,/contests/602985/box_score,https://stats.ncaa.org/contests/602985/box_score
04/22/2014,Penn St.-Altoona,W 14 - 1,/team/25719/11620,/contests/603481/box_score,https://stats.ncaa.org/contests/603481/box_score
04/22/2014,Penn St.-Altoona,L 6 - 13,/team/25719/11620,/game/index/3338243?org_id=11839,https://stats.ncaa.org/game/index/3338243?org_id=11839
04/26/2014,@ Penn St.-Behrend,L 6 - 8,/team/538/11620,/contests/604591/box_score,https://stats.ncaa.org/contests/604591/box_score
04/26/2014,@ Penn St.-Behrend,L 2 - 9,/team/538/11620,/contests/604800/box_score,https://stats.ncaa.org/contests/604800/box_score
04/27/2014,Saint Vincent,L 4 - 9,/team/30064/11620,/contests/605110/box_score,https://stats.ncaa.org/contests/605110/box_score
04/27/2014,Saint Vincent,W 9 - 1,/team/30064/11620,/game/index/3347324?org_id=11839,https://stats.ncaa.org/game/index/3347324?org_id=11839
04/28/2014,Juniata,W 5 - 3,/team/325/11620,/contests/605352/box_score,https://stats.ncaa.org/contests/605352/box_score
05/01/2014,@ Frostburg St.,L 8 - 13,/team/243/11620,/contests/605664/box_score,https://stats.ncaa.org/contests/605664/box_score
05/01/2014,@ Frostburg St.,L 4 - 12,/team/243/11620,/contests/605676/box_score,https://stats.ncaa.org/contests/605676/box_score
05/04/2014,Pitt.-Bradford,W 4 - 2,/team/1315/11620,/contests/606680/box_score,https://stats.ncaa.org/contests/606680/box_score
05/04/2014,Pitt.-Bradford,W 4 - 1,/team/1315/11620,/game/index/3361750?org_id=11839,https://stats.ncaa.org/game/index/3361750?org_id=11839
