year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,game_pbp_url,contest_id,game_pbp_id
2017,12560,03/08/2017,Purchase,30029,5,Skyline,13054,/team/30029/12560,3,SUNY New Paltz,475,7,SUNYAC,917,/team/475/12560,3,NA,NA,/contests/209795/box_score,https://stats.ncaa.org/contests/209795/box_score,https://stats.ncaa.org/game/play_by_play/4312119,209795,4312119
2017,12560,03/24/2017,Purchase,30029,1,Skyline,13054,/team/30029/12560,3,New England Col.,467,5,North Atlantic,30026,/team/467/12560,3,NA,NA,/contests/213663/box_score,https://stats.ncaa.org/contests/213663/box_score,https://stats.ncaa.org/game/play_by_play/4328667,213663,4328667
2017,12560,03/24/2017,Purchase,30029,0,Skyline,13054,/team/30029/12560,3,New England Col.,467,6,North Atlantic,30026,/team/467/12560,3,NA,NA,/contests/213709/box_score,https://stats.ncaa.org/contests/213709/box_score,https://stats.ncaa.org/game/play_by_play/4332429,213709,4332429
2017,12560,03/26/2017,Purchase,30029,0,Skyline,13054,/team/30029/12560,3,Merchant Marine,724,6,Skyline,13054,/team/724/12560,3,NA,NA,/contests/214539/box_score,https://stats.ncaa.org/contests/214539/box_score,https://stats.ncaa.org/game/play_by_play/4331593,214539,4331593
2017,12560,03/26/2017,Purchase,30029,8,Skyline,13054,/team/30029/12560,3,Merchant Marine,724,9,Skyline,13054,/team/724/12560,3,NA,NA,/contests/214591/box_score,https://stats.ncaa.org/contests/214591/box_score,https://stats.ncaa.org/game/play_by_play/4332418,214591,4332418
2017,12560,04/01/2017,Farmingdale St.,27892,4,Skyline,13054,/team/27892/12560,3,Purchase,30029,0,Skyline,13054,/team/30029/12560,3,NA,NA,/contests/215585/box_score,https://stats.ncaa.org/contests/215585/box_score,https://stats.ncaa.org/game/play_by_play/4338336,215585,4338336
2017,12560,04/01/2017,Farmingdale St.,27892,9,Skyline,13054,/team/27892/12560,3,Purchase,30029,0,Skyline,13054,/team/30029/12560,3,NA,NA,/contests/215732/box_score,https://stats.ncaa.org/contests/215732/box_score,https://stats.ncaa.org/game/play_by_play/4338331,215732,4338331
2017,12560,04/02/2017,Purchase,30029,3,Skyline,13054,/team/30029/12560,3,St. Joseph's (Brkln),30072,13,Skyline,13054,/team/30072/12560,3,NA,NA,/contests/216201/box_score,https://stats.ncaa.org/contests/216201/box_score,https://stats.ncaa.org/game/play_by_play/4348795,216201,4348795
2017,12560,04/02/2017,Purchase,30029,1,Skyline,13054,/team/30029/12560,3,St. Joseph's (Brkln),30072,5,Skyline,13054,/team/30072/12560,3,NA,NA,/contests/216261/box_score,https://stats.ncaa.org/contests/216261/box_score,https://stats.ncaa.org/game/play_by_play/4348994,216261,4348994
2017,12560,04/05/2017,Purchase,30029,18,Skyline,13054,/team/30029/12560,3,Yeshiva,814,3,CUNYAC,834,/team/814/12560,3,NA,NA,/contests/216985/box_score,https://stats.ncaa.org/contests/216985/box_score,https://stats.ncaa.org/game/play_by_play/4340947,216985,4340947
