year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,contest_id
2023,16340,02/17/2023,Grand Canyon,1104,12,WAC,923,/team/1104/16340,1,UC San Diego ,112,4,Big West,904,/team/112/16340,1,"Scottsdale, AZ",,/contests/2390322/box_score,https://stats.ncaa.org/contests/2390322/box_score,2390322
2023,16340,02/18/2023,Grand Canyon,1104,4,WAC,923,/team/1104/16340,1,Tennessee,694,3,SEC,911,/team/694/16340,1,,,/contests/2390812/box_score,https://stats.ncaa.org/contests/2390812/box_score,2390812
2023,16340,02/19/2023,Grand Canyon,1104,4,WAC,923,/team/1104/16340,1,Michigan ,418,6,Big Ten,827,/team/418/16340,1,"Mesa, AZ",,/contests/2390884/box_score,https://stats.ncaa.org/contests/2390884/box_score,2390884
2023,16340,02/20/2023,Grand Canyon,1104,1,WAC,923,/team/1104/16340,1,Michigan St.,416,7,Big Ten,827,/team/416/16340,1,,,/contests/2391067/box_score,https://stats.ncaa.org/contests/2391067/box_score,2391067
2023,16340,02/23/2023,Grand Canyon,1104,1,WAC,923,/team/1104/16340,1,Ohio St.,518,0,Big Ten,827,/team/518/16340,1,,,/contests/2391250/box_score,https://stats.ncaa.org/contests/2391250/box_score,2391250
2023,16340,02/24/2023,Grand Canyon,1104,13,WAC,923,/team/1104/16340,1,Gonzaga,260,4,WCC,922,/team/260/16340,1,,,/contests/2391275/box_score,https://stats.ncaa.org/contests/2391275/box_score,2391275
2023,16340,02/25/2023,Grand Canyon,1104,7,WAC,923,/team/1104/16340,1,Ohio St.,518,5,Big Ten,827,/team/518/16340,1,,,/contests/2391581/box_score,https://stats.ncaa.org/contests/2391581/box_score,2391581
2023,16340,02/25/2023,Grand Canyon,1104,17,WAC,923,/team/1104/16340,1,Gonzaga,260,16,WCC,922,/team/260/16340,1,,,/contests/2391580/box_score,https://stats.ncaa.org/contests/2391580/box_score,2391580
2023,16340,03/03/2023,Grand Canyon,1104,5,WAC,923,/team/1104/16340,1,Texas St.,670,3,Sun Belt,818,/team/670/16340,1,,,/contests/2392865/box_score,https://stats.ncaa.org/contests/2392865/box_score,2392865
2023,16340,03/04/2023,Grand Canyon,1104,0,WAC,923,/team/1104/16340,1,Texas St.,670,3,Sun Belt,818,/team/670/16340,1,,,/contests/2393315/box_score,https://stats.ncaa.org/contests/2393315/box_score,2393315
2023,16340,03/05/2023,Grand Canyon,1104,11,WAC,923,/team/1104/16340,1,Texas St.,670,0,Sun Belt,818,/team/670/16340,1,,,/contests/2393584/box_score,https://stats.ncaa.org/contests/2393584/box_score,2393584
2023,16340,03/07/2023,Grand Canyon,1104,10,WAC,923,/team/1104/16340,1,Arizona,29,12,Pac-12,905,/team/29/16340,1,,,/contests/2393740/box_score,https://stats.ncaa.org/contests/2393740/box_score,2393740
2023,16340,03/10/2023,Grand Canyon,1104,6,WAC,923,/team/1104/16340,1,New Mexico St.,472,1,WAC,923,/team/472/16340,1,,,/contests/2394455/box_score,https://stats.ncaa.org/contests/2394455/box_score,2394455
2023,16340,03/11/2023,Grand Canyon,1104,10,WAC,923,/team/1104/16340,1,New Mexico St.,472,0,WAC,923,/team/472/16340,1,,,/contests/2394895/box_score,https://stats.ncaa.org/contests/2394895/box_score,2394895
2023,16340,03/12/2023,Grand Canyon,1104,11,WAC,923,/team/1104/16340,1,New Mexico St.,472,7,WAC,923,/team/472/16340,1,,,/contests/2395063/box_score,https://stats.ncaa.org/contests/2395063/box_score,2395063
2023,16340,03/14/2023,Grand Canyon,1104,11,WAC,923,/team/1104/16340,1,New Mexico,473,8,Mountain West,5486,/team/473/16340,1,,,/contests/2395306/box_score,https://stats.ncaa.org/contests/2395306/box_score,2395306
2023,16340,03/17/2023,Sacramento St.,102,6,WAC,923,/team/102/16340,1,Grand Canyon,1104,9,WAC,923,/team/1104/16340,1,,,/contests/2396063/box_score,https://stats.ncaa.org/contests/2396063/box_score,2396063
