Date,Opponent,Result,opponent_slug,slug,game_info_url
02/07/2014,@ Sul Ross St.,W 11 - 9,/team/1390/11620,/contests/586580/box_score,https://stats.ncaa.org/contests/586580/box_score
02/08/2014,@ Sul Ross St.,L 3 - 16,/team/1390/11620,/contests/586653/box_score,https://stats.ncaa.org/contests/586653/box_score
02/08/2014,@ Sul Ross St.,L 1 - 21,/team/1390/11620,/contests/586684/box_score,https://stats.ncaa.org/contests/586684/box_score
02/14/2014,@ Austin,W 6 - 2,/team/953/11620,/contests/586933/box_score,https://stats.ncaa.org/contests/586933/box_score
02/15/2014,@ Austin,W 4 - 2,/team/953/11620,/contests/587129/box_score,https://stats.ncaa.org/contests/587129/box_score
02/15/2014,@ Austin,L 1 - 5,/team/953/11620,/contests/587191/box_score,https://stats.ncaa.org/contests/587191/box_score
02/17/2014,Whitman,L 5 - 14,/team/780/11620,/contests/587533/box_score,https://stats.ncaa.org/contests/587533/box_score
02/17/2014,Whitman,L 6 - 19 (10),/team/780/11620,/contests/587544/box_score,https://stats.ncaa.org/contests/587544/box_score
02/21/2014,Lewis & Clark,W 13 - 2,/team/22235/11620,/contests/587901/box_score,https://stats.ncaa.org/contests/587901/box_score
02/21/2014,Lewis & Clark,L 6 - 18,/team/22235/11620,/contests/587918/box_score,https://stats.ncaa.org/contests/587918/box_score
02/22/2014,Lewis & Clark,L 2 - 6,/team/22235/11620,/contests/588097/box_score,https://stats.ncaa.org/contests/588097/box_score
02/22/2014,Pacific (OR),L 3 - 11,/team/2751/11620,/contests/588095/box_score,https://stats.ncaa.org/contests/588095/box_score
02/24/2014,Pacific (OR),L 2 - 5,/team/2751/11620,/contests/588749/box_score,https://stats.ncaa.org/contests/588749/box_score
02/24/2014,Pacific (OR),W 11 - 2,/team/2751/11620,/contests/588754/box_score,https://stats.ncaa.org/contests/588754/box_score
02/28/2014,Texas Lutheran,L 1 - 5,/team/1400/11620,/contests/589047/box_score,https://stats.ncaa.org/contests/589047/box_score
03/01/2014,Texas Lutheran,L 0 - 6,/team/1400/11620,/game/index/3289951?org_id=1355,https://stats.ncaa.org/game/index/3289951?org_id=1355
03/01/2014,Texas Lutheran,W 5 - 4,/team/1400/11620,/contests/589411/box_score,https://stats.ncaa.org/contests/589411/box_score
03/04/2014,DeSales,W 4 - 0,/team/20/11620,/contests/590040/box_score,https://stats.ncaa.org/contests/590040/box_score
03/05/2014,Cardinal Stritch,W 2 - 1,NA,/contests/590149/box_score,https://stats.ncaa.org/contests/590149/box_score
03/05/2014,Cardinal Stritch,W 7 - 4,NA,/contests/590165/box_score,https://stats.ncaa.org/contests/590165/box_score
03/07/2014,@ Southwestern (TX),W 3 - 2 (11),/team/8746/11620,/contests/590541/box_score,https://stats.ncaa.org/contests/590541/box_score
03/08/2014,@ Southwestern (TX),L 0 - 2,/team/8746/11620,/contests/591019/box_score,https://stats.ncaa.org/contests/591019/box_score
03/08/2014,@ Southwestern (TX),W 2 - 1,/team/8746/11620,/contests/591036/box_score,https://stats.ncaa.org/contests/591036/box_score
03/12/2014,@ Wayland Baptist,L 0 - 3,NA,/contests/591980/box_score,https://stats.ncaa.org/contests/591980/box_score
03/21/2014,Austin,W 5 - 4,/team/953/11620,/contests/594136/box_score,https://stats.ncaa.org/contests/594136/box_score
03/22/2014,Austin,L 5 - 7,/team/953/11620,/contests/594616/box_score,https://stats.ncaa.org/contests/594616/box_score
03/22/2014,Austin,L 3 - 14,/team/953/11620,/contests/594798/box_score,https://stats.ncaa.org/contests/594798/box_score
03/28/2014,Centenary (LA),L 3 - 7,/team/125/11620,/contests/595993/box_score,https://stats.ncaa.org/contests/595993/box_score
03/29/2014,Centenary (LA),W 8 - 4,/team/125/11620,/contests/596202/box_score,https://stats.ncaa.org/contests/596202/box_score
03/29/2014,Centenary (LA),L 3 - 10,/team/125/11620,/contests/596329/box_score,https://stats.ncaa.org/contests/596329/box_score
04/05/2014,Trinity (TX),L 0 - 12,/team/715/11620,/contests/598233/box_score,https://stats.ncaa.org/contests/598233/box_score
04/05/2014,Trinity (TX),L 4 - 9,/team/715/11620,/contests/598350/box_score,https://stats.ncaa.org/contests/598350/box_score
04/06/2014,Trinity (TX),L 0 - 11,/team/715/11620,/contests/598750/box_score,https://stats.ncaa.org/contests/598750/box_score
04/08/2014,@ Concordia (TX),L 1 - 6,/team/24400/11620,/contests/599220/box_score,https://stats.ncaa.org/contests/599220/box_score
04/12/2014,@ Dallas,L 0 - 15,/team/1044/11620,/contests/600443/box_score,https://stats.ncaa.org/contests/600443/box_score
04/12/2014,@ Dallas,L 1 - 2,/team/1044/11620,/contests/600705/box_score,https://stats.ncaa.org/contests/600705/box_score
04/13/2014,@ Dallas,W 7 - 2,/team/1044/11620,/contests/601049/box_score,https://stats.ncaa.org/contests/601049/box_score
04/17/2014,@ Texas Lutheran,W 2 - 0,/team/1400/11620,/contests/601743/box_score,https://stats.ncaa.org/contests/601743/box_score
04/18/2014,@ Texas Lutheran,L 1 - 7,/team/1400/11620,/contests/602173/box_score,https://stats.ncaa.org/contests/602173/box_score
04/18/2014,@ Texas Lutheran,L 1 - 11,/team/1400/11620,/contests/602319/box_score,https://stats.ncaa.org/contests/602319/box_score
