Date,Opponent,Result,opponent_slug,slug,game_info_url
03/08/2015,"Penn St.-Brandywine @ Vero Beach, Fla.",L 3 - 15,NA,/contests/408599/box_score,https://stats.ncaa.org/contests/408599/box_score
03/08/2015,"Penn St.-Brandywine @ Vero Beach, Fla.",L 5 - 11,NA,/contests/408647/box_score,https://stats.ncaa.org/contests/408647/box_score
03/10/2015,"Penn St.-Beaver @ Vero Beach, Florida",W 7 - 5,NA,/game/index/3865001?org_id=511,https://stats.ncaa.org/game/index/3865001?org_id=511
03/10/2015,"Penn St.-Beaver @ Vero Beach, Fla.",W 15 - 3,NA,/game/index/3864996?org_id=511,https://stats.ncaa.org/game/index/3864996?org_id=511
03/12/2015,"Penn St.-Gr Allegheny @ Vero Beach, Florida",L 6 - 9,NA,/game/index/3865013?org_id=511,https://stats.ncaa.org/game/index/3865013?org_id=511
03/12/2015,"Penn St.-Gr Allegheny @ Vero Beach, Florida",W 4 - 0,NA,/game/index/3865002?org_id=511,https://stats.ncaa.org/game/index/3865002?org_id=511
03/13/2015,"Penn St.-Fayette @ Vero Beach, Florida",W 7 - 3,NA,/game/index/3865750?org_id=511,https://stats.ncaa.org/game/index/3865750?org_id=511
03/13/2015,"Penn St.-Fayette @ Vero Beach, Florida",W 4 - 3,NA,/game/index/3865751?org_id=511,https://stats.ncaa.org/game/index/3865751?org_id=511
03/28/2015,@ Albertus Magnus,L 1 - 12,/team/2798/12080,/contests/413851/box_score,https://stats.ncaa.org/contests/413851/box_score
04/02/2015,@ Albertus Magnus,L 1 - 2,/team/2798/12080,/contests/415136/box_score,https://stats.ncaa.org/contests/415136/box_score
04/02/2015,@ Albertus Magnus,L 0 - 3,/team/2798/12080,/contests/415167/box_score,https://stats.ncaa.org/contests/415167/box_score
04/04/2015,"Rivier @ Rindge, N.H.",L 5 - 8,/team/18422/12080,/contests/416209/box_score,https://stats.ncaa.org/contests/416209/box_score
04/04/2015,"Rivier @ Rindge, N.H.",W 5 - 2,/team/18422/12080,/contests/416203/box_score,https://stats.ncaa.org/contests/416203/box_score
04/11/2015,"Lasell @ Waltham, Mass.",L 7 - 8,/team/8486/12080,/contests/417916/box_score,https://stats.ncaa.org/contests/417916/box_score
04/11/2015,"Lasell @ Waltham, Mass",L 1 - 7,/team/8486/12080,/contests/417921/box_score,https://stats.ncaa.org/contests/417921/box_score
04/12/2015,@ St. Joseph's (ME),L 0 - 3,/team/605/12080,/contests/418216/box_score,https://stats.ncaa.org/contests/418216/box_score
04/12/2015,@ St. Joseph's (ME),L 4 - 11,/team/605/12080,/contests/418346/box_score,https://stats.ncaa.org/contests/418346/box_score
04/15/2015,Anna Maria,W 6 - 5,/team/26/12080,/contests/418995/box_score,https://stats.ncaa.org/contests/418995/box_score
04/15/2015,Anna Maria,L 1 - 5,/team/26/12080,/contests/419050/box_score,https://stats.ncaa.org/contests/419050/box_score
04/17/2015,@ Suffolk,L 0 - 1,/team/684/12080,/contests/419435/box_score,https://stats.ncaa.org/contests/419435/box_score
04/17/2015,@ Suffolk,L 7 - 8,/team/684/12080,/contests/419496/box_score,https://stats.ncaa.org/contests/419496/box_score
04/18/2015,JWU (Providence),L 2 - 5,/team/22626/12080,/game/index/3870426?org_id=511,https://stats.ncaa.org/game/index/3870426?org_id=511
04/18/2015,JWU (Providence),L 2 - 9,/team/22626/12080,/contests/419854/box_score,https://stats.ncaa.org/contests/419854/box_score
04/26/2015,Colby-Sawyer,L 0 - 6,/team/152/12080,/contests/422547/box_score,https://stats.ncaa.org/contests/422547/box_score
04/26/2015,Colby-Sawyer,L 3 - 8,/team/152/12080,/contests/422416/box_score,https://stats.ncaa.org/contests/422416/box_score
04/28/2015,Plattsburgh St.,L 3 - 7,/team/547/12080,/contests/422991/box_score,https://stats.ncaa.org/contests/422991/box_score
04/28/2015,Plattsburgh St.,L 3 - 6,/team/547/12080,/contests/423013/box_score,https://stats.ncaa.org/contests/423013/box_score
04/29/2015,@ Southern Vt.,L 5 - 15,/team/1379/12080,/contests/423080/box_score,https://stats.ncaa.org/contests/423080/box_score
