year,season_id,date,home_team,home_team_id,home_team_score,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_score,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,innings,slug,game_info_url,game_pbp_url,contest_id,game_pbp_id
2022,15860,02/19/2022,Saint Rose,1347,0,NE10,899,/team/1347/15860,2,West Chester ,765,8,PSAC,906,/team/765/15860,2,"Dinwiddie, VA",NA,/contests/2168136/box_score,https://stats.ncaa.org/contests/2168136/box_score,https://stats.ncaa.org/game/play_by_play/5214810,2168136,5214810
2022,15860,02/19/2022,Saint Rose,1347,4,NE10,899,/team/1347/15860,2,West Chester ,765,18,PSAC,906,/team/765/15860,2,"Dinwiddie, VA",NA,/contests/2184976/box_score,https://stats.ncaa.org/contests/2184976/box_score,https://stats.ncaa.org/game/play_by_play/5219370,2184976,5219370
2022,15860,02/20/2022,East Stroudsburg ,197,4,PSAC,906,/team/197/15860,2,Saint Rose,1347,1,NE10,899,/team/1347/15860,2,"Chester, Va",NA,/contests/2168446/box_score,https://stats.ncaa.org/contests/2168446/box_score,https://stats.ncaa.org/game/play_by_play/5248905,2168446,5248905
2022,15860,02/20/2022,East Stroudsburg ,197,9,PSAC,906,/team/197/15860,2,Saint Rose,1347,1,NE10,899,/team/1347/15860,2,"Dinwiddie, Va.",NA,/contests/2184838/box_score,https://stats.ncaa.org/contests/2184838/box_score,https://stats.ncaa.org/game/play_by_play/5291674,2184838,5291674
2022,15860,02/27/2022,Lock Haven ,360,4,PSAC,906,/team/360/15860,2,Saint Rose,1347,3,NE10,899,/team/1347/15860,2,"Newark, DE",NA,/contests/2259578/box_score,https://stats.ncaa.org/contests/2259578/box_score,https://stats.ncaa.org/game/play_by_play/5218378,2259578,5218378
2022,15860,02/27/2022,Lock Haven ,360,7,PSAC,906,/team/360/15860,2,Saint Rose,1347,11,NE10,899,/team/1347/15860,2,"Newark, DE",NA,/contests/2259642/box_score,https://stats.ncaa.org/contests/2259642/box_score,https://stats.ncaa.org/game/play_by_play/5219029,2259642,5219029
2022,15860,03/04/2022,Saint Rose,1347,10,NE10,899,/team/1347/15860,2,St. Thomas Aquinas ,1348,2,ECC,11265,/team/1348/15860,2,"Cary, NC",NA,/contests/2170168/box_score,https://stats.ncaa.org/contests/2170168/box_score,https://stats.ncaa.org/game/play_by_play/5249303,2170168,5249303
2022,15860,03/05/2022,Saint Rose,1347,5,NE10,899,/team/1347/15860,2,West Chester ,765,4,PSAC,906,/team/765/15860,2,"Cary, NC",NA,/contests/2215970/box_score,https://stats.ncaa.org/contests/2215970/box_score,https://stats.ncaa.org/game/play_by_play/5249295,2215970,5249295
2022,15860,03/05/2022,Saint Rose,1347,20,NE10,899,/team/1347/15860,2,St. Thomas Aquinas ,1348,6,ECC,11265,/team/1348/15860,2,"Cary, NC",NA,/contests/2170477/box_score,https://stats.ncaa.org/contests/2170477/box_score,https://stats.ncaa.org/game/play_by_play/5291658,2170477,5291658
2022,15860,03/06/2022,Saint Rose,1347,12,NE10,899,/team/1347/15860,2,West Virginia St. ,1439,13,MEC,30183,/team/1439/15860,2,"Cary, NC",NA,/contests/2170860/box_score,https://stats.ncaa.org/contests/2170860/box_score,https://stats.ncaa.org/game/play_by_play/5226055,2170860,5226055
2022,15860,03/08/2022,Augusta,39,7,Peach Belt,12923,/team/39/15860,2,Saint Rose,1347,4,NE10,899,/team/1347/15860,2,NA,NA,/contests/2171273/box_score,https://stats.ncaa.org/contests/2171273/box_score,https://stats.ncaa.org/game/play_by_play/5228508,2171273,5228508
2022,15860,03/10/2022,Alderson Broaddus ,934,2,MEC,30183,/team/934/15860,2,Saint Rose,1347,8,NE10,899,/team/1347/15860,2,"Wilson, NC",NA,/contests/2171602/box_score,https://stats.ncaa.org/contests/2171602/box_score,https://stats.ncaa.org/game/play_by_play/5230026,2171602,5230026
2022,15860,03/10/2022,Cal U (PA) ,NA,6,NA,NA,NA,NA,Saint Rose,1347,0,NE10,899,/team/1347/15860,2,"Wilson, NC",NA,/contests/2171617/box_score,https://stats.ncaa.org/contests/2171617/box_score,https://stats.ncaa.org/game/play_by_play/5230566,2171617,5230566
2022,15860,03/11/2022,Alderson Broaddus ,934,1,MEC,30183,/team/934/15860,2,Saint Rose,1347,5,NE10,899,/team/1347/15860,2,"Wilson, NC",NA,/contests/2171828/box_score,https://stats.ncaa.org/contests/2171828/box_score,https://stats.ncaa.org/game/play_by_play/5231080,2171828,5231080
2022,15860,03/18/2022,Saint Rose,1347,7,NE10,899,/team/1347/15860,2,Stonehill ,682,8,NE10,899,/team/682/15860,2,"Taunton, MA",NA,/contests/2263660/box_score,https://stats.ncaa.org/contests/2263660/box_score,https://stats.ncaa.org/game/play_by_play/5238263,2263660,5238263
2022,15860,03/18/2022,Saint Rose,1347,2,NE10,899,/team/1347/15860,2,Stonehill ,682,5,NE10,899,/team/682/15860,2,"Taunton, Mass.",NA,/contests/2263697/box_score,https://stats.ncaa.org/contests/2263697/box_score,https://stats.ncaa.org/game/play_by_play/5249306,2263697,5249306
2022,15860,03/20/2022,Saint Rose,1347,0,NE10,899,/team/1347/15860,2,Stonehill ,682,3,NE10,899,/team/682/15860,2,"Taunton, MA",NA,/contests/2173982/box_score,https://stats.ncaa.org/contests/2173982/box_score,https://stats.ncaa.org/game/play_by_play/5241336,2173982,5241336
2022,15860,03/20/2022,Saint Rose,1347,7,NE10,899,/team/1347/15860,2,Stonehill ,682,2,NE10,899,/team/682/15860,2,"Taunton, MA",NA,/contests/2188143/box_score,https://stats.ncaa.org/contests/2188143/box_score,https://stats.ncaa.org/game/play_by_play/5241345,2188143,5241345
2022,15860,03/26/2022,Saint Rose,1347,7,NE10,899,/team/1347/15860,2,Southern Conn. St.,658,6,NE10,899,/team/658/15860,2,NA,10,/contests/2175063/box_score,https://stats.ncaa.org/contests/2175063/box_score,https://stats.ncaa.org/game/play_by_play/5246359,2175063,5246359
2022,15860,03/27/2022,Saint Rose,1347,4,NE10,899,/team/1347/15860,2,Southern Conn. St.,658,10,NE10,899,/team/658/15860,2,NA,NA,/contests/2175447/box_score,https://stats.ncaa.org/contests/2175447/box_score,https://stats.ncaa.org/game/play_by_play/5247771,2175447,5247771
2022,15860,03/27/2022,Southern Conn. St.,658,17,NE10,899,/team/658/15860,2,Saint Rose,1347,4,NE10,899,/team/1347/15860,2,NA,NA,/contests/2186199/box_score,https://stats.ncaa.org/contests/2186199/box_score,https://stats.ncaa.org/game/play_by_play/5248286,2186199,5248286
2022,15860,04/01/2022,American Int'l,22,9,NE10,899,/team/22/15860,2,Saint Rose,1347,11,NE10,899,/team/1347/15860,2,NA,NA,/contests/2265486/box_score,https://stats.ncaa.org/contests/2265486/box_score,https://stats.ncaa.org/game/play_by_play/5261627,2265486,5261627
2022,15860,04/01/2022,American Int'l,22,8,NE10,899,/team/22/15860,2,Saint Rose,1347,10,NE10,899,/team/1347/15860,2,NA,NA,/contests/2185584/box_score,https://stats.ncaa.org/contests/2185584/box_score,https://stats.ncaa.org/game/play_by_play/5255926,2185584,5255926
2022,15860,04/04/2022,American Int'l,22,2,NE10,899,/team/22/15860,2,Saint Rose,1347,1,NE10,899,/team/1347/15860,2,NA,NA,/contests/2176930/box_score,https://stats.ncaa.org/contests/2176930/box_score,https://stats.ncaa.org/game/play_by_play/5255475,2176930,5255475
2022,15860,04/04/2022,American Int'l,22,0,NE10,899,/team/22/15860,2,Saint Rose,1347,11,NE10,899,/team/1347/15860,2,NA,NA,/contests/2187341/box_score,https://stats.ncaa.org/contests/2187341/box_score,https://stats.ncaa.org/game/play_by_play/5255635,2187341,5255635
2022,15860,04/06/2022,Saint Rose,1347,6,NE10,899,/team/1347/15860,2,Southern Conn. St.,658,7,NE10,899,/team/658/15860,2,NA,NA,/contests/2266706/box_score,https://stats.ncaa.org/contests/2266706/box_score,https://stats.ncaa.org/game/play_by_play/5257147,2266706,5257147
2022,15860,04/13/2022,Franklin Pierce,241,20,NE10,899,/team/241/15860,2,Saint Rose,1347,10,NE10,899,/team/1347/15860,2,NA,NA,/contests/2178067/box_score,https://stats.ncaa.org/contests/2178067/box_score,https://stats.ncaa.org/game/play_by_play/5263895,2178067,5263895
2022,15860,04/13/2022,Franklin Pierce,241,9,NE10,899,/team/241/15860,2,Saint Rose,1347,2,NE10,899,/team/1347/15860,2,NA,NA,/contests/2186497/box_score,https://stats.ncaa.org/contests/2186497/box_score,https://stats.ncaa.org/game/play_by_play/5263986,2186497,5263986
2022,15860,04/15/2022,Pace,533,13,NE10,899,/team/533/15860,2,Saint Rose,1347,1,NE10,899,/team/1347/15860,2,NA,NA,/contests/2267890/box_score,https://stats.ncaa.org/contests/2267890/box_score,https://stats.ncaa.org/game/play_by_play/5266125,2267890,5266125
2022,15860,04/15/2022,Pace,533,4,NE10,899,/team/533/15860,2,Saint Rose,1347,3,NE10,899,/team/1347/15860,2,NA,NA,/contests/2267998/box_score,https://stats.ncaa.org/contests/2267998/box_score,https://stats.ncaa.org/game/play_by_play/5265584,2267998,5265584
