Date,Opponent,Result,opponent_slug,slug,game_info_url
03/01/2013,"Defiance @ Florence, KY",L 5 - 7,/team/1050/11320,/contests/660388/box_score,https://stats.ncaa.org/contests/660388/box_score
03/01/2013,"Defiance @ Florence, Kentucky",L 5 - 6,/team/1050/11320,/contests/660382/box_score,https://stats.ncaa.org/contests/660382/box_score
03/15/2013,"Bethany Lutheran @ Tucson, Ariz.",L 8 - 14,/team/30038/11320,/game/index/2216273?org_id=30038,https://stats.ncaa.org/game/index/2216273?org_id=30038
03/15/2013,"Bethany Lutheran @ Tucson, Ariz.",W 7 - 4,/team/30038/11320,/contests/664077/box_score,https://stats.ncaa.org/contests/664077/box_score
03/16/2013,"Augsburg @ Tucson, Ariz.",L 5 - 6,/team/38/11320,/contests/664682/box_score,https://stats.ncaa.org/contests/664682/box_score
03/16/2013,"Augsburg @ Tucson, Ariz.",L 10 - 16,/team/38/11320,/contests/664702/box_score,https://stats.ncaa.org/contests/664702/box_score
03/18/2013,"Williams @ Tucson, AZ",L 5 - 6,/team/789/11320,/contests/665072/box_score,https://stats.ncaa.org/contests/665072/box_score
03/19/2013,"Macalester @ Tuscon, Ariz.",L 13 - 24,/team/376/11320,/contests/665286/box_score,https://stats.ncaa.org/contests/665286/box_score
03/19/2013,"Williams @ Tucson, AZ",L 8 - 12,/team/789/11320,/contests/665283/box_score,https://stats.ncaa.org/contests/665283/box_score
03/27/2013,@ Trine,L 4 - 9,/team/30037/11320,/contests/667165/box_score,https://stats.ncaa.org/contests/667165/box_score
03/27/2013,@ Trine,W 4 - 3,/team/30037/11320,/contests/667175/box_score,https://stats.ncaa.org/contests/667175/box_score
03/29/2013,@ Olivet,L 2 - 4,/team/525/11320,/contests/667689/box_score,https://stats.ncaa.org/contests/667689/box_score
03/29/2013,@ Olivet,W 11 - 3,/team/525/11320,/contests/667809/box_score,https://stats.ncaa.org/contests/667809/box_score
03/30/2013,Olivet,L 2 - 4,/team/525/11320,/contests/668236/box_score,https://stats.ncaa.org/contests/668236/box_score
03/30/2013,Olivet,W 4 - 3,/team/525/11320,/contests/668426/box_score,https://stats.ncaa.org/contests/668426/box_score
04/02/2013,Trine,W 3 - 2,/team/30037/11320,/contests/668960/box_score,https://stats.ncaa.org/contests/668960/box_score
04/02/2013,Trine,L 0 - 2,/team/30037/11320,/contests/669003/box_score,https://stats.ncaa.org/contests/669003/box_score
04/05/2013,@ Kalamazoo,W 9 - 2,/team/326/11320,/contests/669543/box_score,https://stats.ncaa.org/contests/669543/box_score
04/05/2013,@ Kalamazoo,W 11 - 0,/team/326/11320,/contests/669574/box_score,https://stats.ncaa.org/contests/669574/box_score
04/06/2013,Kalamazoo,W 5 - 0,/team/326/11320,/contests/669873/box_score,https://stats.ncaa.org/contests/669873/box_score
04/06/2013,Kalamazoo,W 6 - 1,/team/326/11320,/contests/670152/box_score,https://stats.ncaa.org/contests/670152/box_score
04/12/2013,@ Adrian,L 7 - 8,/team/4/11320,/contests/671638/box_score,https://stats.ncaa.org/contests/671638/box_score
04/12/2013,@ Adrian,W 8 - 3,/team/4/11320,/contests/671659/box_score,https://stats.ncaa.org/contests/671659/box_score
04/15/2013,Adrian,L 0 - 7,/team/4/11320,/contests/672902/box_score,https://stats.ncaa.org/contests/672902/box_score
04/15/2013,Adrian,L 1 - 9,/team/4/11320,/contests/672924/box_score,https://stats.ncaa.org/contests/672924/box_score
04/16/2013,@ Central Mich.,L 0 - 10,/team/129/11320,/contests/673107/box_score,https://stats.ncaa.org/contests/673107/box_score
04/19/2013,@ Alma,L 5 - 6,/team/21/11320,/contests/673712/box_score,https://stats.ncaa.org/contests/673712/box_score
04/19/2013,@ Alma,L 4 - 7,/team/21/11320,/contests/673732/box_score,https://stats.ncaa.org/contests/673732/box_score
04/22/2013,Alma,W 4 - 3,/team/21/11320,/contests/674950/box_score,https://stats.ncaa.org/contests/674950/box_score
04/22/2013,Alma,W 13 - 5,/team/21/11320,/contests/674968/box_score,https://stats.ncaa.org/contests/674968/box_score
04/26/2013,Albion,L 0 - 4,/team/15/11320,/contests/675763/box_score,https://stats.ncaa.org/contests/675763/box_score
04/26/2013,Albion,W 6 - 5,/team/15/11320,/contests/675815/box_score,https://stats.ncaa.org/contests/675815/box_score
04/27/2013,@ Albion,W 18 - 0,/team/15/11320,/contests/676099/box_score,https://stats.ncaa.org/contests/676099/box_score
04/27/2013,@ Albion,W 5 - 2,/team/15/11320,/contests/676334/box_score,https://stats.ncaa.org/contests/676334/box_score
04/29/2013,@ Cornerstone,L 8 - 9,NA,/contests/676957/box_score,https://stats.ncaa.org/contests/676957/box_score
05/03/2013,Hope,L 5 - 6,/team/286/11320,/contests/677638/box_score,https://stats.ncaa.org/contests/677638/box_score
05/03/2013,Hope,W 8 - 1,/team/286/11320,/contests/677679/box_score,https://stats.ncaa.org/contests/677679/box_score
05/04/2013,@ Hope,L 5 - 8,/team/286/11320,/contests/677882/box_score,https://stats.ncaa.org/contests/677882/box_score
05/04/2013,@ Hope,L 6 - 7,/team/286/11320,/contests/678001/box_score,https://stats.ncaa.org/contests/678001/box_score
05/08/2013,@ Hope,L 3 - 7,/team/286/11320,/contests/678659/box_score,https://stats.ncaa.org/contests/678659/box_score
05/09/2013,"Trine @ Holland, Michigan",L 3 - 4 (11),/team/30037/11320,/contests/678764/box_score,https://stats.ncaa.org/contests/678764/box_score
