date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_info_url
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-4,A&M-Corpus Christi,Pepperdine,"Johnson, Di. walked (3-0).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-5,A&M-Corpus Christi,Pepperdine,"Johnson, Di. advanced to second on a balk3a Ryan, B. advanced to third on a balk3a Markotic, L. scored on a balk.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-5,A&M-Corpus Christi,Pepperdine,"Caraway, J. walked (3-1).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-6,A&M-Corpus Christi,Pepperdine,"Puls, M. walked, RBI (3-2)3a Caraway, J. advanced to second3a Johnson, Di. advanced to third3a Ryan, B. scored.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-6,A&M-Corpus Christi,Pepperdine,CHRISTY to p for WALKER.,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-7,A&M-Corpus Christi,Pepperdine,"Taylor, J. flied out to cf, SF, RBI (2-2)3a Caraway, J. advanced to third3a Johnson, Di. scored.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-8,A&M-Corpus Christi,Pepperdine,"Chijin, S. singled to right field, RBI (0-1)3a Puls, M. advanced to second3a Caraway, J. scored.",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-8,A&M-Corpus Christi,Pepperdine,"Queck, C. struck out looking (1-2).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,2,bot,1-8,A&M-Corpus Christi,Pepperdine,"Linneweber,T grounded out to 3b (1-2).",https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,3,top,1-8,Pepperdine,A&M-Corpus Christi,PECK singled up the middle (1-0).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,3,top,1-8,Pepperdine,A&M-Corpus Christi,BRADSHAW struck out swinging (2-2)3a PECK advanced to second on a wild pitch.,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,3,top,1-8,Pepperdine,A&M-Corpus Christi,WALCZYKOWSKI singled to third base (1-0)3a PECK advanced to third.,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,3,top,1-8,Pepperdine,A&M-Corpus Christi,JOHNSON struck out looking (3-2).,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,3,top,1-8,Pepperdine,A&M-Corpus Christi,MEHLHAFF flied out to cf.,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,3,top,1-8,Pepperdine,A&M-Corpus Christi,H: 2 LOB: 2,https://stats.ncaa.org/contests/2169795/box_score
02/28/2022,"Corpus Christi, TX",NA,3,bot,1-8,A&M-Corpus Christi,Pepperdine,"Markotic, L. flied out to rf (2-0).",https://stats.ncaa.org/contests/2169795/box_score
