date,location,attendance,inning,inning_top_bot,score,batting,fielding,description,game_info_url
03/01/2022,"Corpus Christi, TX",NA,5,top,0-6,Prairie View,A&M-Corpus Christi,"Purcell, C. to p for Gutierrez, M.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,top,0-6,Prairie View,A&M-Corpus Christi,P. Castro grounded out to 3b (1-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,top,0-6,Prairie View,A&M-Corpus Christi,S. Coria grounded out to 2b (1-0).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,top,0-6,Prairie View,A&M-Corpus Christi,Z. Trevino struck out looking (3-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-6,A&M-Corpus Christi,Prairie View,J. Maxcey to p for J. Larzabal.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-6,A&M-Corpus Christi,Prairie View,"Caraway, J. walked (3-2).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-6,A&M-Corpus Christi,Prairie View,"Chijin, S. flied out to rf (2-2).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-6,A&M-Corpus Christi,Prairie View,"Taylor, J. popped up to 3b (3-2).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-6,A&M-Corpus Christi,Prairie View,"Maldonado Jr walked (3-1)3a Caraway, J. advanced to second.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-6,A&M-Corpus Christi,Prairie View,"Linneweber,T hit by pitch (1-0)3a Maldonado Jr advanced to second3a Caraway, J. advanced to third.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-7,A&M-Corpus Christi,Prairie View,"Markotic, L. hit by pitch, RBI (3-2)3a Linneweber,T advanced to second3a Maldonado Jr advanced to third3a Caraway, J. scored.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-7,A&M-Corpus Christi,Prairie View,"Ryan, B. struck out swinging (2-2).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,5,bot,0-7,A&M-Corpus Christi,Prairie View,R: 1 LOB: 3,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,"Mejia, S. to p for Purcell, C..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,D. Smith grounded out to p (3-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,K. Rogers walked (3-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,B. Ybarra struck out swinging (1-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,A. Martinez singled to left field (0-0)3a K. Rogers advanced to second.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,D. Cox struck out looking (2-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,H: 1 LOB: 2,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,bot,0-7,A&M-Corpus Christi,Prairie View,T. Tubbs to p for J. Maxcey.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,bot,0-7,A&M-Corpus Christi,Prairie View,"Johnson, Di. walked (3-1).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,bot,0-7,A&M-Corpus Christi,Prairie View,"Puls, M. grounded into double play 2b to ss to 1b (0-1)3a Johnson, Di. out on the play.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,bot,0-7,A&M-Corpus Christi,Prairie View,"Caraway, J. singled up the middle (0-1).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,bot,0-7,A&M-Corpus Christi,Prairie View,"Modgling, C. pinch ran for Caraway, J..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,bot,0-7,A&M-Corpus Christi,Prairie View,"Chijin, S. grounded out to 1b unassisted (1-2).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,6,top,0-7,Prairie View,A&M-Corpus Christi,H: 1 LOB: 1,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,"Modgling, C. to lf.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,"Dickey, K. to p for Mejia, S..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,B. Johnson struck out swinging (2-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,P. Castro singled (1-0).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,S. Coria struck out swinging (1-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,Z. Trevino singled up the middle (1-2)3a P. Castro advanced to second.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,D. Smith flied out to rf (1-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,H: 2 LOB: 2,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,bot,0-7,A&M-Corpus Christi,Prairie View,"Taylor, J. flied out to cf (2-1).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,bot,0-7,A&M-Corpus Christi,Prairie View,Maldonado Jr grounded out to 2b (0-1).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,bot,0-7,A&M-Corpus Christi,Prairie View,"Linneweber,T singled to right field (2-1).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,bot,0-7,A&M-Corpus Christi,Prairie View,"Markotic, L. flied out to rf (2-1).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,7,top,0-7,Prairie View,A&M-Corpus Christi,H: 1 LOB: 1,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,"Mueller, N. to lf for Ryan, B..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,"Modgling, C. to cf.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,"Reisdorph, C to c for Taylor, J..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,"Johnson, D. to p for Dickey, K..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,C. Mendez to lf for K. Rogers.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,C. Mendez singled to left field.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,C. Mendez pinch hit.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,Z. Turner pinch hit for B. Ybarra.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,Z. Turner struck out swinging (2-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,G. Gonzales pinch hit for A. Martinez.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,G. Gonzales walked (3-1)3a C. Mendez advanced to second.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,D. Cox struck out swinging (3-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,B. Johnson walked (3-0)3a G. Gonzales advanced to second3a C. Mendez advanced to third.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,P. Castro grounded out to 2b (2-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,H: 1 LOB: 3,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,C. Mendez to lf.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,Z. Turner to 2b.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,G. Gonzales to 1b.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,D. Aguado to p for T. Tubbs.,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,"Mueller, N. flied out to rf (0-1).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,"Johnson, Di. singled to shortstop (1-2).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,"Mitchell, W. pinch hit for Puls, M..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,"Mitchell, W. grounded out to 2b (1-0)3a Johnson, Di. advanced to second.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,bot,0-7,A&M-Corpus Christi,Prairie View,"Modgling, C. grounded out to 1b unassisted (0-2).",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,8,top,0-7,Prairie View,A&M-Corpus Christi,H: 1 LOB: 1,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,9,top,0-7,Prairie View,A&M-Corpus Christi,"Mitchell, W. to rf.",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,9,top,0-7,Prairie View,A&M-Corpus Christi,"Moeller, JT. to p for Johnson, D..",https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,9,top,0-7,Prairie View,A&M-Corpus Christi,S. Coria singled to right field (0-0).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,9,top,0-7,Prairie View,A&M-Corpus Christi,Z. Trevino struck out swinging (0-2).,https://stats.ncaa.org/contests/2169959/box_score
03/01/2022,"Corpus Christi, TX",NA,9,top,0-7,Prairie View,A&M-Corpus Christi,D. Garcia pinch hit for D. Smith.,https://stats.ncaa.org/contests/2169959/box_score
