year,season_id,date,home_team,home_team_id,home_team_conference,home_team_conference_id,home_team_slug,home_team_division,away_team,away_team_id,away_team_conference,away_team_conference_id,away_team_slug,away_team_division,neutral_site,result,score,innings,slug,game_info_url,Date,Opponent,Result,opponent_slug
2020,15204,03/06/2020,Mercyhurst ,408,PSAC,906,/team/408/15204,2,Ohio Dominican,30119,G-MAC,30182,/team/30119/15204,2,"Wilson, NC",L,6-7,NA,/contests/1833761/box_score,https://stats.ncaa.org/contests/1833761/box_score,NA,NA,NA,NA
2020,15204,03/07/2020,Lock Haven ,360,PSAC,906,/team/360/15204,2,Ohio Dominican,30119,G-MAC,30182,/team/30119/15204,2,"Wilson, NC",W,14-2,NA,/contests/1834049/box_score,https://stats.ncaa.org/contests/1834049/box_score,NA,NA,NA,NA
2020,15204,03/08/2020,Cal U (PA) ,NA,NA,NA,NA,NA,Ohio Dominican,30119,G-MAC,30182,/team/30119/15204,2,"Wilson, NC",L,1-8,NA,/contests/1834717/box_score,https://stats.ncaa.org/contests/1834717/box_score,NA,NA,NA,NA
2020,15204,03/10/2020,Catawba ,1001,SAC,12850,/team/1001/15204,2,Ohio Dominican,30119,G-MAC,30182,/team/30119/15204,2,"Wilson, NC",L,0-17,NA,/contests/1834908/box_score,https://stats.ncaa.org/contests/1834908/box_score,NA,NA,NA,NA
2020,15204,01/31/2020,Montevallo,1238,Gulf South,858,/team/1238/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,L,2-4,NA,/contests/1829581/box_score,https://stats.ncaa.org/contests/1829581/box_score,NA,NA,NA,NA
2020,15204,02/01/2020,Montevallo,1238,Gulf South,858,/team/1238/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,L,6-22,NA,/contests/1829670/box_score,https://stats.ncaa.org/contests/1829670/box_score,NA,NA,NA,NA
2020,15204,02/02/2020,Montevallo,1238,Gulf South,858,/team/1238/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,L,3-16,NA,/contests/1829733/box_score,https://stats.ncaa.org/contests/1829733/box_score,NA,NA,NA,NA
2020,15204,02/08/2020,Lincoln Memorial,1176,SAC,12850,/team/1176/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,W,6-2,NA,/contests/1829956/box_score,https://stats.ncaa.org/contests/1829956/box_score,NA,NA,NA,NA
2020,15204,02/09/2020,Lincoln Memorial,1176,SAC,12850,/team/1176/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,L,2-3,NA,/contests/1963914/box_score,https://stats.ncaa.org/contests/1963914/box_score,NA,NA,NA,NA
2020,15204,02/09/2020,Lincoln Memorial,1176,SAC,12850,/team/1176/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,L,2-6,NA,/contests/1963915/box_score,https://stats.ncaa.org/contests/1963915/box_score,NA,NA,NA,NA
2020,15204,02/20/2020,Glenville St.,1098,MEC,30183,/team/1098/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,W,7-5,NA,/contests/1968097/box_score,https://stats.ncaa.org/contests/1968097/box_score,NA,NA,NA,NA
2020,15204,02/22/2020,Davis & Elkins ,174,MEC,30183,/team/174/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,"Glenville, WV",L,2-6,NA,/contests/1831757/box_score,https://stats.ncaa.org/contests/1831757/box_score,NA,NA,NA,NA
2020,15204,03/01/2020,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,Wayne St. (MI),757,GLIAC,854,/team/757/15204,2,NA,L,0-16,NA,/contests/1832378/box_score,https://stats.ncaa.org/contests/1832378/box_score,NA,NA,NA,NA
2020,15204,03/01/2020,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,Wayne St. (MI),757,GLIAC,854,/team/757/15204,2,NA,L,4-5,NA,/contests/1832810/box_score,https://stats.ncaa.org/contests/1832810/box_score,NA,NA,NA,NA
2020,15204,03/02/2020,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,Wayne St. (MI),757,GLIAC,854,/team/757/15204,2,NA,L,1-26,NA,/contests/1849198/box_score,https://stats.ncaa.org/contests/1849198/box_score,NA,NA,NA,NA
2020,15204,03/09/2020,Salem (WV),19117,DII Independent,99010,/team/19117/15204,2,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,NA,W,8-2,NA,/contests/1971957/box_score,https://stats.ncaa.org/contests/1971957/box_score,NA,NA,NA,NA
2020,15204,03/10/2020,Ohio Valley,15207,G-MAC,30182,/team/15207/15204,2,Charleston (WV),1013,MEC,30183,/team/1013/15204,2,NA,L,0-10,NA,/contests/1834922/box_score,https://stats.ncaa.org/contests/1834922/box_score,NA,NA,NA,NA
2020,15204,01/31/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Missouri Western,9013,Mid-America Intercollegiate,883,/team/9013/15204,2,NA,L,3-5,NA,/contests/1829590/box_score,https://stats.ncaa.org/contests/1829590/box_score,NA,NA,NA,NA
2020,15204,02/01/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Missouri Western,9013,Mid-America Intercollegiate,883,/team/9013/15204,2,NA,W,25-5,NA,/contests/1829653/box_score,https://stats.ncaa.org/contests/1829653/box_score,NA,NA,NA,NA
2020,15204,02/01/2020,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,Missouri Western,9013,Mid-America Intercollegiate,883,/team/9013/15204,2,NA,W,7-6,NA,/contests/1848537/box_score,https://stats.ncaa.org/contests/1848537/box_score,NA,NA,NA,NA
2020,15204,02/07/2020,Newman ,30054,Mid-America Intercollegiate,883,/team/30054/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,"Arkadelphia, AR",W,7-1,NA,/contests/1829804/box_score,https://stats.ncaa.org/contests/1829804/box_score,NA,NA,NA,NA
2020,15204,02/08/2020,Central Okla. ,1009,Mid-America Intercollegiate,883,/team/1009/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,"Arkadelphia, AR",W,7-2,NA,/contests/1829970/box_score,https://stats.ncaa.org/contests/1829970/box_score,NA,NA,NA,NA
2020,15204,02/09/2020,Northwest Mo. St. ,507,Mid-America Intercollegiate,883,/team/507/15204,2,Okla. Baptist,30202,GAC,30144,/team/30202/15204,2,"Arkadelphia, AR",L,2-9,NA,/contests/1830011/box_score,https://stats.ncaa.org/contests/1830011/box_score,NA,NA,NA,NA
